Transaction_ID,Items
198,"Pasta, Bread, Wine, Chicken"
199,"Pasta, Bread, Diapers, Rice, Wine"
200,"Milk, Pasta, Rice, Beef, Chicken, Wine"
201,"Apple, Pasta, Rice, Beef, Wine, Bread"
202,"Apple, Milk, Pasta, Diapers, Beef, Wine, Bread"
203,"Apple, Milk, Pasta, Rice, Beef, Cheese, Chicken, Wine"
204,"Pasta, Milk, Wine"
205,"Pasta, Wine"
206,"Pasta, Diapers, Beef, Wine, Chicken, Bread"
207,"Pasta, Diapers, Beef, Cheese, Chicken, Wine"
208,"Pasta, Diapers, Rice, Beef, Cheese, Chicken, Wine"
209,"Apple, Milk, Pasta, Diapers, Rice, Beef, Cheese, Wine"
210,"Apple, Milk, Pasta, Bread, Rice, Beef, Cheese, Wine"
211,"Pasta, Apple, Milk, Wine"
212,Diapers
213,"Apple, Milk, Pasta, Diapers, Rice, Beef, Cheese, Chicken, Wine"
214,"Milk, Pasta, Bread, Diapers, Cheese, Chicken, Wine"
215,"Pasta, Diapers, Wine, Cheese"
216,"Pasta, Wine"
217,"Pasta, Milk, Wine"
218,"Milk, Pasta, Bread, Rice, Beef, Cheese, Chicken, Wine"
219,"Apple, Milk, Pasta, Diapers, Rice, Beef, Cheese, Wine"
220,"Pasta, Wine"
221,"Pasta, Apple, Wine, Cheese"
222,"Pasta, Apple, Wine"
223,"Pasta, Rice, Wine, Cheese, Chicken, Bread"
224,"Pasta, Apple, Wine"
225,"Pasta, Bread, Diapers, Beef, Cheese, Chicken, Wine"
226,"Pasta, Rice, Wine"
227,"Milk, Pasta, Bread, Diapers, Rice, Beef, Chicken, Wine"
228,"Apple, Milk, Pasta, Bread, Cheese, Chicken, Wine"
229,Wine
230,"Pasta, Wine, Chicken"
231,"Pasta, Bread, Wine, Chicken"
232,"Apple, Milk, Pasta, Beef, Wine, Chicken, Bread"
233,"Pasta, Bread, Diapers, Beef, Cheese, Wine"
234,"Pasta, Milk, Wine"
235,"Milk, Pasta, Diapers, Rice, Cheese, Chicken, Wine"
236,"Apple, Milk, Pasta, Rice, Cheese, Chicken, Wine"
237,"Bread, Cheese, Wine"
238,"Apple, Milk, Pasta, Diapers, Rice, Beef, Chicken, Wine"
239,"Pasta, Milk, Wine"
240,"Apple, Pasta, Diapers, Rice, Wine"
241,"Apple, Pasta, Beef, Wine, Cheese, Chicken, Bread"
242,Wine
243,"Pasta, Wine"
244,"Pasta, Wine, Chicken"
245,"Pasta, Wine"
246,"Apple, Milk, Pasta, Diapers, Wine, Chicken, Bread"
247,"Pasta, Beef, Cheese, Chicken, Wine"
248,"Apple, Pasta, Beef, Cheese, Wine"
249,"Pasta, Wine, Chicken"
250,"Pasta, Apple, Diapers, Wine"
251,"Apple, Milk, Pasta, Rice, Beef, Chicken, Wine"
252,"Pasta, Rice, Cheese, Chicken, Wine"
253,"Pasta, Diapers, Wine, Cheese"
254,"Milk, Pasta, Bread, Diapers, Rice, Cheese, Wine"
255,"Apple, Milk, Pasta, Bread, Diapers, Rice, Beef, Wine"
256,Bread
257,"Apple, Milk, Pasta, Rice, Wine, Bread"
258,"Apple, Pasta, Rice, Beef, Wine, Cheese, Chicken, Bread"
259,"Apple, Milk, Pasta, Diapers, Rice, Chicken"
260,"Bread, Beef, Chicken"
261,"Pasta, Rice, Milk, Wine"
262,"Apple, Milk, Pasta, Bread, Diapers, Rice, Beef, Chicken, Wine"
263,"Pasta, Bread, Diapers, Beef, Cheese, Wine"
264,"Milk, Pasta, Wine, Chicken, Bread"
265,"Apple, Pasta, Bread, Diapers, Rice, Beef, Chicken, Wine"
266,"Pasta, Rice, Diapers, Wine"
267,"Pasta, Rice, Wine, Chicken"
268,"Apple, Milk, Pasta, Bread, Diapers, Rice, Beef, Cheese, Wine"
269,"Apple, Milk, Pasta, Diapers, Rice, Beef, Cheese, Wine"
270,"Apple, Milk, Pasta, Rice, Beef, Wine, Bread"
271,"Apple, Milk, Pasta, Bread, Diapers, Rice, Beef, Wine"
272,"Apple, Milk, Pasta, Beef, Cheese, Chicken, Wine"
273,"Pasta, Apple, Wine, Cheese"
274,"Apple, Pasta, Beef, Wine, Bread"
275,"Apple, Milk, Pasta, Rice, Beef, Wine, Cheese, Bread"
276,"Pasta, Wine, Cheese"
277,"Milk, Pasta, Diapers, Rice, Chicken, Wine"
278,"Apple, Pasta, Beef, Wine, Bread"
279,"Milk, Pasta, Bread, Rice, Beef, Cheese, Chicken, Wine"
280,"Pasta, Apple, Wine"
281,"Milk, Pasta, Diapers, Rice, Cheese, Wine"
282,"Milk, Pasta, Bread, Beef, Chicken, Wine"
283,"Apple, Milk, Pasta, Bread, Diapers, Rice, Cheese, Chicken, Wine"
284,"Milk, Pasta, Bread, Diapers, Rice, Cheese, Chicken, Wine"
285,"Apple, Milk, Pasta, Bread, Chicken, Wine"
286,"Milk, Pasta, Diapers, Beef, Cheese, Wine"
287,"Apple, Pasta, Diapers, Beef, Wine, Cheese, Chicken, Bread"
288,"Pasta, Wine"
289,
290,"Pasta, Bread, Wine, Milk"
291,"Apple, Pasta, Bread, Cheese, Chicken, Wine"
292,"Pasta, Wine"
293,"Apple, Milk, Pasta, Rice, Beef, Cheese, Wine"
294,"Apple, Pasta, Beef, Wine, Cheese, Bread"
295,"Apple, Pasta, Diapers, Chicken, Wine"
296,"Apple, Diapers"
297,"Pasta, Rice, Wine"
298,"Apple, Pasta, Rice, Beef, Wine, Chicken, Bread"
299,"Pasta, Milk, Wine, Chicken"
300,"Pasta, Diapers, Rice, Beef, Cheese, Chicken, Wine"
301,"Pasta, Rice, Beef, Wine, Bread"
302,"Pasta, Cheese, Wine, Beef"
303,"Pasta, Milk, Wine"
304,"Pasta, Wine"
305,"Pasta, Diapers, Rice, Cheese, Chicken, Wine"
306,"Pasta, Wine"
307,"Apple, Milk, Pasta, Rice, Beef, Cheese, Wine"
308,"Milk, Pasta, Bread, Cheese, Wine"
309,"Milk, Pasta, Rice, Cheese, Wine"
310,"Rice, Bread, Beef, Chicken"
311,"Pasta, Wine"
312,"Pasta, Wine"
313,"Apple, Milk, Pasta, Diapers, Rice, Wine, Cheese, Chicken, Bread"
314,"Milk, Rice, Cheese, Beef"
315,"Pasta, Cheese, Wine, Beef"
316,"Pasta, Milk, Wine, Chicken"
317,"Apple, Milk, Pasta, Diapers, Wine, Chicken, Bread"
318,"Pasta, Wine"
319,"Apple, Milk, Pasta, Diapers, Rice, Beef, Cheese, Chicken, Wine"
320,"Pasta, Wine"
321,"Pasta, Diapers, Beef, Wine, Cheese, Chicken, Bread"
322,"Pasta, Bread, Wine"
323,"Apple, Milk, Pasta, Bread, Rice, Chicken, Wine"
324,"Apple, Milk, Pasta, Bread, Diapers, Cheese, Chicken, Wine"
325,"Apple, Pasta, Diapers, Beef, Cheese, Chicken, Wine"
326,"Pasta, Wine"
327,"Pasta, Apple, Wine"
328,"Pasta, Beef, Wine, Cheese, Bread"
329,"Pasta, Rice, Wine"
330,"Pasta, Bread, Beef, Cheese, Chicken, Wine"
331,"Pasta, Rice, Milk, Wine"
332,"Pasta, Wine"
333,"Apple, Pasta, Bread, Diapers, Beef, Cheese, Chicken, Wine"
334,"Apple, Milk, Pasta, Bread, Diapers, Beef, Chicken, Wine"
335,"Milk, Pasta, Bread, Diapers, Beef, Cheese, Chicken, Wine"
336,"Apple, Milk, Pasta"
337,"Apple, Milk, Pasta, Diapers, Beef, Cheese, Chicken, Wine"
338,
339,"Apple, Milk, Pasta, Bread, Diapers, Beef, Wine"
340,"Apple, Milk, Pasta, Diapers, Rice, Beef, Cheese, Chicken"
341,Bread
342,"Pasta, Wine"
343,"Apple, Milk, Pasta, Diapers, Beef, Chicken, Wine"
344,"Apple, Pasta, Rice, Beef, Wine, Bread"
345,"Apple, Milk, Pasta, Diapers, Beef, Wine, Cheese, Bread"
346,"Apple, Milk, Pasta, Beef, Wine"
347,"Apple, Wine, Cheese, Chicken"
348,"Pasta, Diapers, Beef, Wine, Bread"
349,"Pasta, Bread, Diapers, Beef, Chicken, Wine"
350,"Apple, Milk, Pasta, Bread, Rice, Beef, Wine"
351,"Pasta, Wine"
352,"Pasta, Diapers, Rice, Wine, Cheese, Chicken, Bread"
353,"Milk, Pasta, Diapers, Cheese, Wine"
354,"Apple, Pasta, Rice, Beef, Wine, Cheese, Bread"
355,"Pasta, Rice, Wine, Chicken, Bread"
356,"Pasta, Diapers, Rice, Beef, Wine, Chicken, Bread"
357,"Apple, Milk, Pasta, Diapers, Rice, Beef, Cheese, Chicken"
358,"Apple, Milk, Pasta, Bread, Beef, Cheese, Chicken, Wine"
359,"Pasta, Wine"
360,"Apple, Pasta, Bread, Diapers, Rice, Beef, Chicken, Wine"
361,"Apple, Milk, Pasta, Diapers, Rice, Beef, Wine, Bread"
362,"Pasta, Beef, Wine, Cheese, Chicken, Bread"
363,"Apple, Milk, Pasta, Bread, Rice, Beef, Cheese, Chicken, Wine"
364,"Apple, Milk, Pasta, Diapers, Rice, Chicken, Wine"
365,"Apple, Milk, Pasta, Beef, Wine, Cheese, Chicken, Bread"
366,"Apple, Milk, Pasta, Diapers, Rice, Beef, Wine, Cheese, Chicken, Bread"
367,"Pasta, Apple, Wine, Beef"
368,"Pasta, Apple, Wine"
369,"Pasta, Wine"
370,"Milk, Pasta, Bread, Diapers, Rice, Beef, Cheese, Wine"
371,"Pasta, Wine, Cheese, Chicken, Bread"
372,"Apple, Milk, Pasta, Rice, Wine, Cheese, Chicken, Bread"
373,"Apple, Pasta, Bread, Diapers, Rice, Beef, Wine"
374,"Pasta, Apple, Wine"
375,"Pasta, Bread, Wine, Chicken"
376,"Apple, Pasta, Bread, Diapers, Beef, Cheese, Wine"
377,"Apple, Milk, Pasta, Diapers, Rice, Beef, Wine, Chicken, Bread"
378,"Pasta, Wine, Chicken"
379,"Apple, Pasta, Diapers, Rice, Chicken, Wine"
380,"Pasta, Diapers, Rice, Cheese, Chicken, Wine"
381,"Pasta, Rice, Beef, Wine, Bread"
382,"Pasta, Wine, Beef"
383,"Apple, Milk, Pasta, Rice, Beef, Wine, Cheese, Chicken, Bread"
384,"Bread, Wine, Cheese"
385,"Pasta, Bread, Wine"
386,"Apple, Milk, Pasta, Beef, Wine"
387,"Milk, Wine"
388,"Rice, Chicken"
389,"Milk, Pasta, Diapers, Rice, Wine, Cheese, Chicken, Bread"
390,"Milk, Pasta, Bread, Rice, Cheese, Chicken, Wine"
391,"Apple, Milk, Pasta, Bread, Diapers, Rice, Beef, Cheese, Wine"
392,"Pasta, Apple, Wine, Rice"
393,"Pasta, Wine, Cheese"
394,"Pasta, Wine, Cheese"
395,"Milk, Pasta, Beef"
396,"Pasta, Wine"
397,"Apple, Milk, Pasta, Diapers, Rice, Cheese, Wine"
398,"Pasta, Wine"
399,"Pasta, Wine, Cheese, Chicken, Bread"
400,"Pasta, Wine"
401,"Apple, Pasta, Bread, Diapers, Rice, Beef, Cheese, Chicken, Wine"
402,"Milk, Pasta, Diapers, Rice, Cheese, Wine"
403,"Apple, Rice, Wine"
404,"Pasta, Wine"
405,"Milk, Pasta, Diapers, Cheese, Chicken, Wine"
406,"Pasta, Apple, Bread, Wine"
407,"Apple, Milk, Pasta, Rice, Wine, Cheese, Chicken, Bread"
408,"Apple, Pasta, Rice, Cheese, Wine"
409,"Pasta, Diapers, Wine"
410,"Pasta, Diapers, Wine, Chicken"
411,"Apple, Milk, Pasta, Bread, Diapers, Beef, Cheese, Wine"
412,"Pasta, Bread, Wine"
413,"Pasta, Rice, Beef, Wine, Cheese, Chicken, Bread"
414,"Pasta, Wine"
415,"Apple, Milk, Pasta, Wine, Bread"
416,"Apple, Pasta, Bread, Beef, Chicken, Wine"
417,"Pasta, Wine"
418,"Pasta, Cheese, Wine, Beef"
419,"Apple, Milk, Pasta, Cheese, Wine"
420,"Milk, Pasta, Diapers, Rice, Chicken, Wine"
421,"Apple, Milk, Pasta, Bread, Cheese, Chicken, Wine"
422,"Pasta, Milk, Wine"
423,"Apple, Milk, Pasta, Rice, Wine, Bread"
424,"Pasta, Diapers, Wine"
425,"Pasta, Apple, Wine, Beef"
426,"Apple, Milk, Pasta, Bread, Diapers, Rice, Beef, Cheese, Wine"
427,"Apple, Milk, Diapers, Beef, Wine, Cheese, Chicken, Bread"
428,"Pasta, Wine"
429,"Apple, Pasta, Diapers, Rice, Chicken, Wine"
430,"Milk, Pasta, Bread, Diapers, Beef, Chicken, Wine"
431,"Apple, Milk, Pasta, Diapers, Cheese, Chicken, Wine"
432,"Pasta, Wine"
433,"Apple, Milk, Pasta, Bread, Cheese, Chicken, Wine"
434,"Pasta, Wine"
435,"Milk, Pasta, Bread, Diapers, Rice, Cheese, Wine"
436,"Pasta, Bread, Wine"
437,"Pasta, Wine"
438,"Pasta, Bread, Wine"
439,
440,"Pasta, Diapers, Beef, Wine, Chicken, Bread"
441,"Pasta, Bread, Diapers, Cheese, Wine"
442,"Pasta, Wine"
443,"Milk, Pasta, Beef, Chicken, Wine"
444,"Apple, Milk, Rice, Chicken, Bread"
445,"Apple, Pasta, Rice, Wine, Bread"
446,"Pasta, Milk, Wine"
447,"Pasta, Wine, Beef"
448,"Pasta, Milk, Wine"
449,"Pasta, Diapers, Wine"
450,"Milk, Pasta, Rice, Wine, Chicken, Bread"
451,"Pasta, Milk, Wine"
452,"Pasta, Wine"
453,"Pasta, Apple, Wine, Cheese"
454,"Milk, Pasta, Diapers, Rice, Beef, Wine, Bread"
455,"Apple, Milk, Pasta, Rice, Beef, Wine, Cheese, Chicken, Bread"
456,"Pasta, Rice, Wine"
457,"Apple, Pasta, Diapers, Rice, Beef, Cheese, Wine"
458,"Milk, Pasta, Diapers, Chicken, Wine"
459,"Pasta, Wine"
460,"Pasta, Diapers, Rice, Beef, Wine, Cheese, Chicken, Bread"
461,"Apple, Diapers, Rice, Beef, Cheese, Wine"
462,"Apple, Milk, Pasta, Rice, Wine"
463,"Pasta, Diapers, Rice, Beef, Chicken, Wine"
464,"Pasta, Bread, Wine"
465,"Apple, Milk, Bread, Diapers, Rice, Chicken, Wine"
466,"Apple, Pasta, Bread, Rice, Beef, Cheese, Wine"
467,"Apple, Milk, Pasta, Rice, Wine, Chicken, Bread"
468,"Pasta, Diapers, Wine"
469,"Milk, Pasta, Beef, Cheese, Chicken, Wine"
470,"Pasta, Bread, Wine, Cheese"
471,"Pasta, Wine"
472,"Apple, Pasta, Bread, Diapers, Rice, Cheese, Chicken, Wine"
473,"Apple, Pasta, Bread, Diapers, Cheese, Chicken, Wine"
474,Wine
475,"Apple, Milk, Pasta, Bread, Rice, Beef, Wine"
476,"Milk, Pasta, Bread, Cheese, Wine"
477,"Apple, Milk, Pasta, Bread, Diapers, Rice, Chicken, Wine"
478,"Apple, Milk, Pasta, Diapers, Rice, Chicken, Wine"
479,"Pasta, Rice, Milk, Wine"
480,"Pasta, Diapers, Rice, Chicken, Wine"
481,"Milk, Pasta, Diapers, Rice, Beef, Cheese, Chicken"
482,"Pasta, Wine"
483,"Pasta, Wine, Cheese"
484,"Pasta, Bread, Wine, Diapers"
485,"Apple, Pasta, Bread, Rice, Cheese, Wine"
486,"Pasta, Beef, Cheese, Chicken, Wine"
487,"Pasta, Beef, Wine, Chicken, Bread"
488,"Apple, Milk, Pasta, Rice, Chicken, Wine"
489,"Apple, Pasta, Bread, Diapers, Rice, Cheese, Chicken, Wine"
490,"Apple, Pasta, Diapers, Rice, Cheese, Chicken"
491,"Apple, Pasta, Bread, Diapers, Beef, Cheese, Wine"
492,"Pasta, Wine, Cheese"
493,"Apple, Milk, Pasta, Bread, Rice, Beef, Chicken, Wine"
494,"Milk, Pasta, Diapers, Rice, Chicken, Wine"
495,"Pasta, Rice, Wine"
496,"Pasta, Wine, Cheese"
497,"Pasta, Rice, Beef, Wine, Cheese, Chicken, Bread"
498,"Pasta, Diapers, Rice, Beef, Wine"
499,"Apple, Milk, Pasta, Rice, Wine, Cheese, Chicken, Bread"
500,"Milk, Pasta, Diapers, Rice, Beef, Chicken, Wine"
501,"Pasta, Diapers, Rice, Cheese, Wine"
502,"Apple, Milk, Pasta, Cheese, Wine"
503,"Apple, Pasta, Diapers, Beef, Cheese, Wine"
504,"Apple, Milk, Pasta, Bread, Diapers, Beef, Cheese, Wine"
505,"Milk, Pasta, Bread, Beef, Wine"
506,"Diapers, Rice, Cheese, Chicken, Wine"
507,"Pasta, Wine"
508,"Pasta, Wine, Cheese, Beef"
509,"Apple, Milk, Pasta, Diapers, Rice, Beef, Wine"
510,"Pasta, Rice, Wine"
511,"Apple, Pasta, Rice, Chicken, Wine"
512,"Apple, Milk, Pasta, Bread, Diapers, Beef, Cheese, Wine"
513,"Apple, Pasta, Wine, Chicken, Bread"
514,"Pasta, Wine, Beef, Chicken"
515,"Apple, Pasta, Diapers, Chicken, Wine"
516,"Apple, Milk, Pasta, Diapers, Rice, Beef, Wine, Bread"
517,"Pasta, Beef, Wine, Cheese, Chicken, Bread"
518,"Pasta, Diapers, Wine, Chicken, Bread"
519,"Pasta, Bread, Wine, Cheese"
520,"Pasta, Rice, Wine"
521,"Milk, Pasta, Bread, Diapers, Cheese, Wine"
522,"Pasta, Milk, Wine, Chicken"
523,
524,"Pasta, Diapers, Wine, Chicken"
525,"Pasta, Wine, Chicken"
526,"Pasta, Rice, Wine"
527,"Pasta, Wine"
528,"Pasta, Rice, Wine, Beef"
529,"Pasta, Milk, Wine"
530,"Pasta, Wine"
