"Statistic Label","Year","Type of Ownership","Region","UNIT","VALUE"
"Total Sales of Goods Produced and Services Provided","2003","Foreign ownership","Border","Euro Million","1549"
"Total Sales of Goods Produced and Services Provided","2003","Foreign ownership","West","Euro Million","3674"
"Total Sales of Goods Produced and Services Provided","2003","Foreign ownership","Mid West","Euro Million","16771"
"Total Sales of Goods Produced and Services Provided","2003","Foreign ownership","South East","Euro Million","1658"
"Total Sales of Goods Produced and Services Provided","2003","Foreign ownership","South West","Euro Million","23905"
"Total Sales of Goods Produced and Services Provided","2003","Foreign ownership","Dublin","Euro Million","36881"
"Total Sales of Goods Produced and Services Provided","2003","Foreign ownership","Mid East","Euro Million","4623"
"Total Sales of Goods Produced and Services Provided","2003","Foreign ownership","Midlands","Euro Million","811"
"Total Sales of Goods Produced and Services Provided","2004","All Enterprise ownership","Ireland","Euro Million","115620"
"Total Sales of Goods Produced and Services Provided","2004","All Enterprise ownership","Border","Euro Million","4381"
"Total Sales of Goods Produced and Services Provided","2004","All Enterprise ownership","West","Euro Million","5044"
"Total Sales of Goods Produced and Services Provided","2004","All Enterprise ownership","Mid West","Euro Million","19109"
"Total Sales of Goods Produced and Services Provided","2004","All Enterprise ownership","South East","Euro Million","5483"
"Total Sales of Goods Produced and Services Provided","2004","All Enterprise ownership","South West","Euro Million","27988"
"Total Sales of Goods Produced and Services Provided","2004","All Enterprise ownership","Dublin","Euro Million","44067"
"Total Sales of Goods Produced and Services Provided","2004","All Enterprise ownership","Mid East","Euro Million","7295"
"Total Sales of Goods Produced and Services Provided","2004","All Enterprise ownership","Midlands","Euro Million","2254"
"Total Sales of Goods Produced and Services Provided","2004","Irish ownership","Ireland","Euro Million","23569"
"Total Sales of Goods Produced and Services Provided","2004","Irish ownership","Border","Euro Million","2870"
"Total Sales of Goods Produced and Services Provided","2004","Irish ownership","West","Euro Million","1252"
"Total Sales of Goods Produced and Services Provided","2004","Irish ownership","Mid West","Euro Million","1520"
"Total Sales of Goods Produced and Services Provided","2004","Irish ownership","South East","Euro Million","3458"
"Total Sales of Goods Produced and Services Provided","2004","Irish ownership","South West","Euro Million","2893"
"Total Sales of Goods Produced and Services Provided","2004","Irish ownership","Dublin","Euro Million","7867"
"Total Sales of Goods Produced and Services Provided","2004","Irish ownership","Mid East","Euro Million","2475"
"Total Sales of Goods Produced and Services Provided","2004","Irish ownership","Midlands","Euro Million","1234"
"Total Sales of Goods Produced and Services Provided","2004","Foreign ownership","Ireland","Euro Million","92051"
"Total Sales of Goods Produced and Services Provided","2004","Foreign ownership","Border","Euro Million","1511"
"Total Sales of Goods Produced and Services Provided","2004","Foreign ownership","West","Euro Million","3791"
"Total Sales of Goods Produced and Services Provided","2004","Foreign ownership","Mid West","Euro Million","17589"
"Total Sales of Goods Produced and Services Provided","2004","Foreign ownership","South East","Euro Million","2025"
"Total Sales of Goods Produced and Services Provided","2004","Foreign ownership","South West","Euro Million","25095"
"Total Sales of Goods Produced and Services Provided","2004","Foreign ownership","Dublin","Euro Million","36200"
"Total Sales of Goods Produced and Services Provided","2004","Foreign ownership","Mid East","Euro Million","4820"
"Total Sales of Goods Produced and Services Provided","2004","Foreign ownership","Midlands","Euro Million","1020"
"Total Sales of Goods Produced and Services Provided","2005","All Enterprise ownership","Ireland","Euro Million","123104"
"Total Sales of Goods Produced and Services Provided","2005","All Enterprise ownership","Border","Euro Million","4592"
"Total Sales of Goods Produced and Services Provided","2005","All Enterprise ownership","West","Euro Million","5402"
"Total Sales of Goods Produced and Services Provided","2005","All Enterprise ownership","Mid West","Euro Million","20216"
"Total Sales of Goods Produced and Services Provided","2005","All Enterprise ownership","South East","Euro Million","5462"
"Total Sales of Goods Produced and Services Provided","2005","All Enterprise ownership","South West","Euro Million","30160"
"Total Sales of Goods Produced and Services Provided","2005","All Enterprise ownership","Dublin","Euro Million","46950"
"Total Sales of Goods Produced and Services Provided","2005","All Enterprise ownership","Mid East","Euro Million","7697"
"Total Sales of Goods Produced and Services Provided","2005","All Enterprise ownership","Midlands","Euro Million","2626"
"Total Sales of Goods Produced and Services Provided","2005","Irish ownership","Ireland","Euro Million","25169"
"Total Sales of Goods Produced and Services Provided","2005","Irish ownership","Border","Euro Million","3180"
"Total Sales of Goods Produced and Services Provided","2005","Irish ownership","West","Euro Million","1315"
"Total Sales of Goods Produced and Services Provided","2005","Irish ownership","Mid West","Euro Million","1685"
"Total Sales of Goods Produced and Services Provided","2005","Irish ownership","South East","Euro Million","3324"
"Total Sales of Goods Produced and Services Provided","2005","Irish ownership","South West","Euro Million","2951"
"Total Sales of Goods Produced and Services Provided","2005","Irish ownership","Dublin","Euro Million","8632"
"Total Sales of Goods Produced and Services Provided","2005","Irish ownership","Mid East","Euro Million","2661"
"Total Sales of Goods Produced and Services Provided","2005","Irish ownership","Midlands","Euro Million","1421"
"Total Sales of Goods Produced and Services Provided","2005","Foreign ownership","Ireland","Euro Million","97936"
"Total Sales of Goods Produced and Services Provided","2005","Foreign ownership","Border","Euro Million","1413"
"Total Sales of Goods Produced and Services Provided","2005","Foreign ownership","West","Euro Million","4086"
"Total Sales of Goods Produced and Services Provided","2005","Foreign ownership","Mid West","Euro Million","18530"
"Total Sales of Goods Produced and Services Provided","2005","Foreign ownership","South East","Euro Million","2137"
"Total Sales of Goods Produced and Services Provided","2005","Foreign ownership","South West","Euro Million","27209"
"Total Sales of Goods Produced and Services Provided","2005","Foreign ownership","Dublin","Euro Million","38318"
"Total Sales of Goods Produced and Services Provided","2005","Foreign ownership","Mid East","Euro Million","5037"
"Total Sales of Goods Produced and Services Provided","2005","Foreign ownership","Midlands","Euro Million","1205"
"Total Sales of Goods Produced and Services Provided","2006","All Enterprise ownership","Ireland","Euro Million","135148"
"Total Sales of Goods Produced and Services Provided","2006","All Enterprise ownership","Border","Euro Million","4808"
"Total Sales of Goods Produced and Services Provided","2006","All Enterprise ownership","West","Euro Million","5244"
"Total Sales of Goods Produced and Services Provided","2006","All Enterprise ownership","Mid West","Euro Million","20238"
"Total Sales of Goods Produced and Services Provided","2006","All Enterprise ownership","South East","Euro Million","5909"
"Total Sales of Goods Produced and Services Provided","2006","All Enterprise ownership","South West","Euro Million","32804"
"Total Sales of Goods Produced and Services Provided","2006","All Enterprise ownership","Dublin","Euro Million","54591"
"Total Sales of Goods Produced and Services Provided","2006","All Enterprise ownership","Mid East","Euro Million","8772"
"Total Sales of Goods Produced and Services Provided","2006","All Enterprise ownership","Midlands","Euro Million","2783"
"Total Sales of Goods Produced and Services Provided","2006","Irish ownership","Ireland","Euro Million","27760"
"Total Sales of Goods Produced and Services Provided","2006","Irish ownership","Border","Euro Million","3498"
"Total Sales of Goods Produced and Services Provided","2006","Irish ownership","West","Euro Million","1352"
"Total Sales of Goods Produced and Services Provided","2006","Irish ownership","Mid West","Euro Million","1815"
"Total Sales of Goods Produced and Services Provided","2006","Irish ownership","South East","Euro Million","3705"
"Total Sales of Goods Produced and Services Provided","2006","Irish ownership","South West","Euro Million","2840"
"Total Sales of Goods Produced and Services Provided","2006","Irish ownership","Dublin","Euro Million","9872"
"Total Sales of Goods Produced and Services Provided","2006","Irish ownership","Mid East","Euro Million","3034"
"Total Sales of Goods Produced and Services Provided","2006","Irish ownership","Midlands","Euro Million","1643"
"Total Sales of Goods Produced and Services Provided","2006","Foreign ownership","Ireland","Euro Million","107389"
"Total Sales of Goods Produced and Services Provided","2006","Foreign ownership","Border","Euro Million","1310"
"Total Sales of Goods Produced and Services Provided","2006","Foreign ownership","West","Euro Million","3892"
"Total Sales of Goods Produced and Services Provided","2006","Foreign ownership","Mid West","Euro Million","18422"
"Total Sales of Goods Produced and Services Provided","2006","Foreign ownership","South East","Euro Million","2204"
"Total Sales of Goods Produced and Services Provided","2006","Foreign ownership","South West","Euro Million","29965"
"Total Sales of Goods Produced and Services Provided","2006","Foreign ownership","Dublin","Euro Million","44719"
"Total Sales of Goods Produced and Services Provided","2006","Foreign ownership","Mid East","Euro Million","5738"
"Total Sales of Goods Produced and Services Provided","2006","Foreign ownership","Midlands","Euro Million","1139"
"Total Sales of Goods Produced and Services Provided","2007","All Enterprise ownership","Ireland","Euro Million","145837"
"Total Sales of Goods Produced and Services Provided","2007","All Enterprise ownership","Border","Euro Million","6117"
"Total Sales of Goods Produced and Services Provided","2007","All Enterprise ownership","West","Euro Million","5579"
"Total Sales of Goods Produced and Services Provided","2007","All Enterprise ownership","Mid West","Euro Million","20409"
"Total Sales of Goods Produced and Services Provided","2007","All Enterprise ownership","South East","Euro Million","6690"
"Total Sales of Goods Produced and Services Provided","2007","All Enterprise ownership","South West","Euro Million","35208"
"Total Sales of Goods Produced and Services Provided","2007","All Enterprise ownership","Dublin","Euro Million","60038"
"Total Sales of Goods Produced and Services Provided","2007","All Enterprise ownership","Mid East","Euro Million","8934"
"Total Sales of Goods Produced and Services Provided","2007","All Enterprise ownership","Midlands","Euro Million","2862"
"Total Sales of Goods Produced and Services Provided","2007","Irish ownership","Ireland","Euro Million","30052"
"Total Sales of Goods Produced and Services Provided","2007","Irish ownership","Border","Euro Million","3984"
"Total Sales of Goods Produced and Services Provided","2007","Irish ownership","West","Euro Million","1441"
"Total Sales of Goods Produced and Services Provided","2007","Irish ownership","Mid West","Euro Million","2104"
"Total Sales of Goods Produced and Services Provided","2007","Irish ownership","South East","Euro Million","3955"
"Total Sales of Goods Produced and Services Provided","2007","Irish ownership","South West","Euro Million","3912"
"Total Sales of Goods Produced and Services Provided","2007","Irish ownership","Dublin","Euro Million","9968"
"Total Sales of Goods Produced and Services Provided","2007","Irish ownership","Mid East","Euro Million","3078"
"Total Sales of Goods Produced and Services Provided","2007","Irish ownership","Midlands","Euro Million","1611"
"Total Sales of Goods Produced and Services Provided","2007","Foreign ownership","Ireland","Euro Million","115785"
"Total Sales of Goods Produced and Services Provided","2007","Foreign ownership","Border","Euro Million","2133"
"Total Sales of Goods Produced and Services Provided","2007","Foreign ownership","West","Euro Million","4138"
"Total Sales of Goods Produced and Services Provided","2007","Foreign ownership","Mid West","Euro Million","18306"
"Total Sales of Goods Produced and Services Provided","2007","Foreign ownership","South East","Euro Million","2735"
"Total Sales of Goods Produced and Services Provided","2007","Foreign ownership","South West","Euro Million","31296"
"Total Sales of Goods Produced and Services Provided","2007","Foreign ownership","Dublin","Euro Million","50070"
"Total Sales of Goods Produced and Services Provided","2007","Foreign ownership","Mid East","Euro Million","5856"
"Total Sales of Goods Produced and Services Provided","2007","Foreign ownership","Midlands","Euro Million","1251"
"Total Sales of Goods Produced and Services Provided","2008","All Enterprise ownership","Ireland","Euro Million","149938"
"Total Sales of Goods Produced and Services Provided","2008","All Enterprise ownership","Border","Euro Million","6346"
"Total Sales of Goods Produced and Services Provided","2008","All Enterprise ownership","West","Euro Million","6157"
"Total Sales of Goods Produced and Services Provided","2008","All Enterprise ownership","Mid West","Euro Million","20555"
"Total Sales of Goods Produced and Services Provided","2008","All Enterprise ownership","South East","Euro Million","6787"
"Total Sales of Goods Produced and Services Provided","2008","All Enterprise ownership","South West","Euro Million","35560"
"Total Sales of Goods Produced and Services Provided","2008","All Enterprise ownership","Dublin","Euro Million","62854"
"Total Sales of Goods Produced and Services Provided","2008","All Enterprise ownership","Mid East","Euro Million","9001"
"Total Sales of Goods Produced and Services Provided","2008","All Enterprise ownership","Midlands","Euro Million","2679"
"Total Sales of Goods Produced and Services Provided","2008","Irish ownership","Ireland","Euro Million","30779"
"Total Sales of Goods Produced and Services Provided","2008","Irish ownership","Border","Euro Million","3929"
"Total Sales of Goods Produced and Services Provided","2008","Irish ownership","West","Euro Million","1712"
"Total Sales of Goods Produced and Services Provided","2008","Irish ownership","Mid West","Euro Million","2516"
"Total Sales of Goods Produced and Services Provided","2008","Irish ownership","South East","Euro Million","3702"
"Total Sales of Goods Produced and Services Provided","2008","Irish ownership","South West","Euro Million","3536"
"Total Sales of Goods Produced and Services Provided","2008","Irish ownership","Dublin","Euro Million","10301"
"Total Sales of Goods Produced and Services Provided","2008","Irish ownership","Mid East","Euro Million","3536"
"Total Sales of Goods Produced and Services Provided","2008","Irish ownership","Midlands","Euro Million","1548"
"Total Sales of Goods Produced and Services Provided","2008","Foreign ownership","Ireland","Euro Million","119159"
"Total Sales of Goods Produced and Services Provided","2008","Foreign ownership","Border","Euro Million","2417"
"Total Sales of Goods Produced and Services Provided","2008","Foreign ownership","West","Euro Million","4445"
"Total Sales of Goods Produced and Services Provided","2008","Foreign ownership","Mid West","Euro Million","18039"
"Total Sales of Goods Produced and Services Provided","2008","Foreign ownership","South East","Euro Million","3085"
"Total Sales of Goods Produced and Services Provided","2008","Foreign ownership","South West","Euro Million","32024"
"Total Sales of Goods Produced and Services Provided","2008","Foreign ownership","Dublin","Euro Million","52553"
"Total Sales of Goods Produced and Services Provided","2008","Foreign ownership","Mid East","Euro Million","5465"
"Total Sales of Goods Produced and Services Provided","2008","Foreign ownership","Midlands","Euro Million","1130"
"Total Sales of Goods Produced and Services Provided","2009","All Enterprise ownership","Ireland","Euro Million","134400"
"Total Sales of Goods Produced and Services Provided","2009","All Enterprise ownership","Border","Euro Million","5675"
"Total Sales of Goods Produced and Services Provided","2009","All Enterprise ownership","West","Euro Million","5877"
"Total Sales of Goods Produced and Services Provided","2009","All Enterprise ownership","Mid West","Euro Million","11111"
"Total Sales of Goods Produced and Services Provided","2009","All Enterprise ownership","South East","Euro Million","5701"
"Total Sales of Goods Produced and Services Provided","2009","All Enterprise ownership","South West","Euro Million","36558"
"Total Sales of Goods Produced and Services Provided","2009","All Enterprise ownership","Dublin","Euro Million","59593"
"Total Sales of Goods Produced and Services Provided","2009","All Enterprise ownership","Mid East","Euro Million","7563"
"Total Sales of Goods Produced and Services Provided","2009","All Enterprise ownership","Midlands","Euro Million","2322"
"Total Sales of Goods Produced and Services Provided","2009","Irish ownership","Ireland","Euro Million","24912"
"Total Sales of Goods Produced and Services Provided","2009","Irish ownership","Border","Euro Million","3360"
"Total Sales of Goods Produced and Services Provided","2009","Irish ownership","West","Euro Million","1464"
"Total Sales of Goods Produced and Services Provided","2009","Irish ownership","Mid West","Euro Million","2006"
"Total Sales of Goods Produced and Services Provided","2009","Irish ownership","South East","Euro Million","2857"
"Total Sales of Goods Produced and Services Provided","2009","Irish ownership","South West","Euro Million","2835"
"Total Sales of Goods Produced and Services Provided","2009","Irish ownership","Dublin","Euro Million","8063"
"Total Sales of Goods Produced and Services Provided","2009","Irish ownership","Mid East","Euro Million","3045"
"Total Sales of Goods Produced and Services Provided","2009","Irish ownership","Midlands","Euro Million","1282"
"Total Sales of Goods Produced and Services Provided","2009","Foreign ownership","Ireland","Euro Million","109488"
"Total Sales of Goods Produced and Services Provided","2009","Foreign ownership","Border","Euro Million","2316"
"Total Sales of Goods Produced and Services Provided","2009","Foreign ownership","West","Euro Million","4413"
"Total Sales of Goods Produced and Services Provided","2009","Foreign ownership","Mid West","Euro Million","9104"
"Total Sales of Goods Produced and Services Provided","2009","Foreign ownership","South East","Euro Million","2845"
"Total Sales of Goods Produced and Services Provided","2009","Foreign ownership","South West","Euro Million","33723"
"Total Sales of Goods Produced and Services Provided","2009","Foreign ownership","Dublin","Euro Million","51530"
"Total Sales of Goods Produced and Services Provided","2009","Foreign ownership","Mid East","Euro Million","4518"
"Total Sales of Goods Produced and Services Provided","2009","Foreign ownership","Midlands","Euro Million","1040"
"Total Sales of Goods Produced and Services Provided","2010","All Enterprise ownership","Ireland","Euro Million","83551"
"Total Sales of Goods Produced and Services Provided","2010","All Enterprise ownership","Border","Euro Million","4728"
"Total Sales of Goods Produced and Services Provided","2010","All Enterprise ownership","West","Euro Million","4465"
"Total Sales of Goods Produced and Services Provided","2010","All Enterprise ownership","Mid West","Euro Million","8190"
"Total Sales of Goods Produced and Services Provided","2010","All Enterprise ownership","South East","Euro Million","5234"
"Total Sales of Goods Produced and Services Provided","2010","All Enterprise ownership","South West","Euro Million","22321"
"Total Sales of Goods Produced and Services Provided","2010","All Enterprise ownership","Dublin","Euro Million","30492"
"Total Sales of Goods Produced and Services Provided","2010","All Enterprise ownership","Mid East","Euro Million","6200"
"Total Sales of Goods Produced and Services Provided","2010","All Enterprise ownership","Midlands","Euro Million","1921"
"Total Sales of Goods Produced and Services Provided","2010","Irish ownership","Ireland","Euro Million","19393"
"Total Sales of Goods Produced and Services Provided","2010","Irish ownership","Border","Euro Million","2953"
"Total Sales of Goods Produced and Services Provided","2010","Irish ownership","West","Euro Million","1117"
"Total Sales of Goods Produced and Services Provided","2010","Irish ownership","Mid West","Euro Million","1520"
"Total Sales of Goods Produced and Services Provided","2010","Irish ownership","South East","Euro Million","2707"
"Total Sales of Goods Produced and Services Provided","2010","Irish ownership","South West","Euro Million","2502"
"Total Sales of Goods Produced and Services Provided","2010","Irish ownership","Dublin","Euro Million","5142"
"Total Sales of Goods Produced and Services Provided","2010","Irish ownership","Mid East","Euro Million","2488"
"Total Sales of Goods Produced and Services Provided","2010","Irish ownership","Midlands","Euro Million","962"
"Total Sales of Goods Produced and Services Provided","2010","Foreign ownership","Ireland","Euro Million","64159"
"Total Sales of Goods Produced and Services Provided","2010","Foreign ownership","Border","Euro Million","1775"
"Total Sales of Goods Produced and Services Provided","2010","Foreign ownership","West","Euro Million","3347"
"Total Sales of Goods Produced and Services Provided","2010","Foreign ownership","Mid West","Euro Million","6671"
"Total Sales of Goods Produced and Services Provided","2010","Foreign ownership","South East","Euro Million","2527"
"Total Sales of Goods Produced and Services Provided","2010","Foreign ownership","South West","Euro Million","19819"
"Total Sales of Goods Produced and Services Provided","2010","Foreign ownership","Dublin","Euro Million","25349"
"Total Sales of Goods Produced and Services Provided","2010","Foreign ownership","Mid East","Euro Million","3712"
"Total Sales of Goods Produced and Services Provided","2010","Foreign ownership","Midlands","Euro Million","959"
"Total Sales of Goods Produced and Services Provided","2011","All Enterprise ownership","Ireland","Euro Million","91758"
"Total Sales of Goods Produced and Services Provided","2011","All Enterprise ownership","Border","Euro Million","5385"
"Total Sales of Goods Produced and Services Provided","2011","All Enterprise ownership","West","Euro Million","5264"
"Total Sales of Goods Produced and Services Provided","2011","All Enterprise ownership","Mid West","Euro Million","9817"
"Total Sales of Goods Produced and Services Provided","2011","All Enterprise ownership","South East","Euro Million","5806"
"Total Sales of Goods Produced and Services Provided","2011","All Enterprise ownership","South West","Euro Million","30048"
"Total Sales of Goods Produced and Services Provided","2011","All Enterprise ownership","Dublin","Euro Million","27490"
"Total Sales of Goods Produced and Services Provided","2011","All Enterprise ownership","Mid East","Euro Million","5831"
"Total Sales of Goods Produced and Services Provided","2011","All Enterprise ownership","Midlands","Euro Million","2117"
"Total Sales of Goods Produced and Services Provided","2011","Irish ownership","Ireland","Euro Million","21139"
