CustomerID,Churn,Age,Gender,Region,Education,CustomerSegment,ContractLength,ContractStartDate,PlanType,TenureMonths,MonthlyValue,PaymentMethod,PaymentDelinquencyStatus,IncomeTier,AutoPay
23643,1,48.0,Male,west,Diploma,Silver,Two year,2025-03-06,STANDARD,20.0,160.6,Crypto,Current,Very High,Yes
18477,0,28.0,Female,West,Bachelors,Silver,Month-to-month,2022-10-30,Premium,,52.21,cash,Current,Medium,No
14319,0,67.0,Female,West,Bachelors,Bronze,3-Year,2023-02-03,Premium,93.0,122.34,PayPal,Current,Very High,No
4260,0,31.0,Male,South,DIPLOMA,Bronze,One year,2024-04-12,Premium,52.0,29.43,Credit Card,Current,High,No
13947,0,56.0,FEMALE,East,High School,Silver,Two year,2023-01-21,Basic,95.0,55.94,Crypto,Current,High,Yes
3728,0,57.0,Female,Central,Diploma,Bronze,Month-to-month,2022-12-29,Standard,96.0,105.165,Bank Transfer,Current,High,Yes
719,0,43.0,Female,Central,High School,Silver,Month-to-month,2024-10-06,Basic,34.0,170.59,Credit Card,Current,Low,Yes
32530,0,20.0,Male,Central,Diploma,Gold,3-Year,2022-08-07,Premium,110.0,10516.5,Bank Transfer,30+,High,Yes
21457,0,,Female,North,Masters,Gold,One year,2024-12-17,Ultra,28.0,77.66,Crypto,Current,Very High,No
18494,0,45.0,Male,West,PhD,Bronze,Two year,2023-06-15,Basic,81.0,€112.73,Bank Transfer,Current,Low,No
25917,1,75.0,Female,West,Diploma,Silver,Month-to-month,2025-03-05,Premium,20.0,142.07,PayPal,30+,High,Yes
32366,0,19.0,Male,West,Diploma,Gold,3-Year,2024-09-12,STANDARD,37.0,96.56,Crypto,Current,High,No
11906,0,54.0,Male,South,Diploma,Diamond,One year,2024-12-30,STANDARD,27.0,€78.47,PayPal,Current,Low,Yes
35889,1,64.0,Female,South,PhD,Silver,Month-to-month,2024-11-13,Basic,31.0,24.7,bank transfer,Current,Medium,Yes
44470,0,77.0,Male,South,High School,Diamond,Month-to-month,2024-01-11,Basic,61.0,171.99,Bank Transfer,Current,Medium,No
48288,0,78.0,Female,Central,diploma,Gold,Two year,2023-04-23,Standard,85.0,51.57,Electronic Check,Current,High,Yes
38686,1,24.0,male,South,Bachelors,Silver,Month-to-month,2025-01-07,Basic,26.0,166.66,cash,30+,High,No
27682,0,49.0,Male,North,PhD,Bronze,Month-to-month,2023-01-23,Premium,94.0,77.99,Mailed Check,Current,High,No
6042,0,56.0,Female,Central,Masters,Gold,Two year,2022-10-26,Basic,103.0,$46.53,Crypto,Current,High,Yes
34228,1,21.0,Female,Central,Diploma,Gold,Month-to-month,2023-01-14,Ultra,95.0,178.4,Bank Transfer,Current,Medium,No
44703,0,57.0,Female,North,Masters,Gold,Month-to-month,2025-01-14,STANDARD,25.0,23.94,Mailed Check,Current,High,Yes
443,0,44.0,Male,South,Ph.D.,Platinum,3-Year,2022-09-16,Premium,107.0, 66.05 ,Mailed Check,Current,Very High,Yes
39976,0,40.0, Male,Central,Masters,Bronze,Month-to-month,2023-01-19,Premium,94.0,105.165,Mailed Check,Current,Low,No
32271,0,29.0,Male,West,Diploma,Silver,Two year,2024-02-22,ultra,56.0,163.02,electronic check,Current,Medium,No
34835,1,45.0,Male,West,Bachelors,Bronze,Month-to-month,2023-02-19,STANDARD,91.0,78.88,Crypto,Current,Low,True
36438,0,74.0,Female,Central,High School,Silver,3-Year,2024-04-13,Basic,51.0,29.92,Electronic Check,Current,High,Yes
16197,0,36.0,male,East,Bachelors,Gold,24 months,2025-09-21,Standard,1.0,114.02,Mailed Check,Current,Low,No
39913,0,49.0,Female,West,Bachelors,Silver,MTM,2022-07-26,Basic,111.0,27.19,Mailed Check,Current,High,1
47867,0,19.0,Male,West,Bachelors,Silver,Month-to-month,2022-07-17,Premium,113.0,157.71,Electronic Check,Current,High,No
822,0,40.0,Female,North,Diploma,Bronze,Two year,2021-10-17,Premium,139.0,96.24,Bank Transfer,Current,Medium,Yes
14907,0,18.0,Male,South,,Gold,Two year,2025-10-09,Basic,0.0,€150.18,Crypto,Current,High,No
30643,0,39.0,Female,East,High-School,Silver,Month-to-month,2024-12-27,STANDARD,27.0,181.02,cash,30+,High,No
46169,1,72.0,Male,Central,Bachelors,Silver,Two year,2023-07-02,standard,79.0,55.65,Bank Transfer,Current,High,No
24093,0,70.0,Female,North,Diploma,Silver,Two year,2023-12-18,STANDARD,63.0,125.14,PayPal,Current,High,No
14078,1,28.0,F,North,Diploma,Silver,Month-to-month,2024-11-19,Basic,30.0,140.02,PayPal,30+,High,No
15792,0,22.0,Female,North,,Silver,Two year,2023-11-26,Basic,65.0,123.56,,Current,High,Yes
8788,0,35.0, Male,Central,High School,Platinum,3-Year,2022-11-27,STANDARD,100.0,111.45,Crypto,Current,Low,Yes
41426,1,49.0,Male,West,Masters,Silver,Month-to-month,2023-09-01,Ultra,73.0,173.96,Mailed Check,Current,Low,No
15105,0,38.0,female,West,High School,Bronze,Month-to-month,2022-05-25,Ultra,118.0,143.44,Mailed Check,Current,High,No
26901,0,49.0,F,South,Bachelors,Bronze,Month-to-month,2023-03-14,Standard,89.0,$16.66,,Current,Low,Yes
3811,0,28.0,Female,South,High School,Silver,One year,2023-05-05,Standard,85.0,82.78,Credit Card,30+,Low,No
46800,0,33.0,Male,WEST,Diploma,Gold,One year,2023-03-12,Standard,89.0,144.99,Electronic Check,Current,Low,Yes
13297,0,42.0,Male,East,Diploma,Diamond,Two year,2024-02-12,Basic,57.0,105.165,Mailed Check,Current,Very High,0
1056,0,51.0,Male,North,PhD,Diamond,3-Year,2023-08-16,STANDARD,75.0,24.22,Crypto,30+,Medium,Yes
10460,0,53.0,Male,South,High School,Platinum,3-Year,2022-08-28,BASIC,109.0,182.65,Electronic Check,120+,Very High,Yes
31199,1,28.0,Female,Central,Diploma,Bronze,Month-to-month,2024-03-24,Premium,53.0,115.85,,Current,Very High,Yes
37689,0,43.0,Male,West,Diploma,Diamond,3-Year,2025-04-16,Basic,16.0,157.37,PayPal,Current,Medium,No
23295,1,19.0,Male , East,Diploma, Platinum,Month-to-month,2025-04-05,Standard,17.0,40.15,,Current,  Low,Yes
43824,0,64.0,F,West,High School,Silver,Month-to-month,2024-01-11,Ultra Plan,60.0,85.71,BankTransfer,90+,Medium,Yes
43798,0,32.0,Male,North,Diploma  ,Bronze,Month-to-month,2022-10-08,Ultra,105.0,59.92,Bank Transfer,Current,Very High,No
28710,0,36.0,Female,West,Diploma,Bronze,Month-to-month,2022-11-15,Standard,101.0,95.08,PayPal,Current,High,No
45343,0,57.0,Male,Central,High School,Silver,One year,2022-10-08,Basic,105.0,149.79,Crypto,Current,Medium,No
45029,0,35.0,M,Central,Diploma,Silver,Month-to-month,2023-10-18,Standard,68.0,16.35,cash,30+,Very High,Yes
17491,0,21.0,Female,North ,PhD,Silver,Two year,2023-07-09,Ultra,78.0,103.11,Mailed Check,Current,High,No
33056,0,49.0,Female,South,Diploma,Silver,Month-to-month,2022-10-15,Basic,104.0,156.54,Mailed Check,Current,Low,No
3437,0,46.0,Male,North,PhD,Gold,Two year,2023-11-09,Basic,67.0,10.6,cash,Current,Low,Yes
45620,1,58.0, Female,West,Diploma,Gold,3-Year,2024-09-24,Basic,36.0,170.61,PayPal,120+,Very High,Yes
47702,1,63.0,Female,Central,PhD,Bronze,3-Year,2024-07-13,Basic,43.0,193.6,Crypto,30+,Medium,Yes
0025072,0,39.0,Male,Central,Bachelors,Bronze,Two year,2022-08-18,STANDARD,109.0,160.73,Crypto,Current,High,Yes
14500,0,27.0,Male,East,Bachelors,Bronze,One year,2023-03-06,Basic,90.0,87.9,Crypto,Current,Medium,No
22814,0,22.0,M,East,PhD,Silver,Month-to-month,2024-07-16,STANDARD,42.0,44.59,PayPal,Current,Very High,Yes
41174,0,19.0,Male,North,Masters,Bronze,Two year,2025-01-15,Ultra,25.0,142.53,Crypto,Current,Low,No
34257,0,70.0,Male,West ,Diploma,Diamond,Month-to-month,2023-08-17,Premium,75.0,126.5,cash,Current,Low,No
5511,1,70.0,Male,Central,Diploma,Gold,Month-to-month,2025-05-17,Premium,13.0,176.25,Bank Transfer,Current,High,No
328,0,49.0,Male,south,Diploma,Bronze,3-Year,2023-05-16,STANDARD,83.0,118.08,Mailed Check,Current,High,Yes
8684,0,50.0,Male,East,PhD,Bronze,One year,2025-04-18,Ultra,16.0,69.69,Crypto,Current,Medium,no 
28047,1,54.0,Male,West,Masters,Gold,One year,2022-08-07,Standard,110.0,180.32,cash,Current,High,No
44146,0,78.0,Female,West,High School,Bronze,3-Year,2023-05-20,STANDARD,83.0,20.2,cash,Current,Very High,No
45891,0,51.0, Male,West ,Dip, Platinum,One year,2024-02-26,Basic,56.0,€141.69,PayPal,Current,Low ,Yes
10583,0,41.0,Female,Central,Masters,Diamond,Month-to-month,2022-06-21,Standard,115.0,111.68,,Current,Low,Yes
48997,0,76.0,Male,West,Diploma ,Gold,Month-to-month,2024-07-07,Prem,44.0,142.53,cash,Current,Very High,No
14905,0,55.0,female,North,Diploma,Silver,One year,2023-01-10,Basic,,$184.85,,Current,Very High,Yes
18111,0,53.0,Female,north,Diploma,Bronze,3-Year,2024-10-09,Basic,-35.0,105.165,Crypto,Current,Very High,No
48197,0,23.0,Female,North,Diploma,Bronze,3-Year,2023-08-10,Ultra,75.0,119.55,Mailed Check,Current,High,No
26735,0,61.0,Male,South,Bachelors,Gold,Two year,2022-05-12,Basic,119.0,122.34,Mailed Check,Current,Medium,Yes
41891,0,27.0,Female,East,PhD,Bronze,One year,2023-07-22,Premium,77.0,56.87,Crypto,Current,Medium,No
14913,0,36.0,Female,North,Bachelors,Gold,Month-to-month,2022-12-19,STANDARD,97.0,143.86,Credit Card,Current,Medium,Yes
14539,0,22.0,Male,Central,PhD,Silver,One year,2024-04-22,Ultra,51.0,16.17,Bank Transfer,30+,Low,Yes
42113,0,61.0,Male,South,Masters,Silver,3-Year,2023-04-09,Ultra,87.0,15.59,Mailed Check,Current,Low,No
48108,1,64.0,Female,East,Bachelors,Bronze,Month-to-month,2025-09-29,Basic,,€160.38,Crypto,Current,Low,No
47503,0,43.0,Male,North,Diploma,Gold,One year,2025-04-22,Standard,16.0,86.59,Electronic Check,Current,High,Yes
14511,0,36.0,Male,East,Masters,Silver,Month-to-month,2025-05-26,Prem,13.0,130.6,,Current,Very High,1
41776,0,49.0, Male,WEST,Diploma,Gold,Two year,2022-09-04,Ultra,108.0,23.67,Crypto,30+,Low,No
34751,0,58.0,female,North,Masters,Silver,One year,2024-09-26,Premium,36.0,118.23,Electronic Check,Current,Low,Yes
49213,0,,Male,East,High School,Bronze,Two year,2023-11-07,Basic,66.0,100.27,BankTransfer,Current,High,Yes
15531,0,,Female,East,Diploma,Gold,Month-to-month,2022-09-07,Basic,107.0,$110.16,cash,Current,Low,yes
46115,1,33.0,Female,North,Diploma,Platinum,Month-to-month,2023-09-10,Standard,72.0,56.24,Bank Transfer,120+,Low,Yes
23655,0,70.0,Female,Central,HS,Gold,Two year,2024-10-18,BASIC,33.0,97.95,Bank Transfer,Current,High,No
749,0,66.0,Male,South ,Diploma,Silver,Month-to-month,2022-06-26,STANDARD,114.0,105.165,electronic check,Current,Low,Yes
39079,0,49.0,Male,East,Dip,Gold,3-Year,2025-03-23,Standard,19.0,187.03,PayPal,Current,Low,No
44956,1,54.0,Female,North,Masters,Bronze,3-Year,2023-03-23,Premium,88.0,34.8,Mailed Check,60+,Very High,False
14792,0,53.0,Male ,West,Diploma,Silver,Month-to-month,2024-04-28,STANDARD,50.0,191.54,Crypto,Current,Low,Yes
33517,1,67.0,Female,East,PhD,Platinum,Two year,2024-07-06,Premium,43.0,73.12,Credit Card,Current,Low,Yes
347,0,28.0,Female,north,Diploma,Platinum,Month-to-month,2023-11-08,Basic,66.0,$105.40,Credit Card,Current,Low,No
20408,0,49.0,Male,North,Diploma,Gold,Two year,2022-09-14,Premium,,66.35,Crypto,Current,Medium,Yes
49067,1,46.0,Male,West,High School,Bronze,Month-to-month,2025-06-05,Basic,12.0,21.77,Credit Card,Current,Low,No
15085,1,62.0,Male,South,PhD,Platinum,3-Year,2025-07-04,Standard,9.0,113.16,Mailed Check,60+,Low,No
1930,1,72.0,Male ,East,PhD,Silver,Month-to-month,2025-08-12,Premium,5.0,187.56,Credit Card,60+,Low,No
37357,0,43.0,Female,Central,PhD,Silver,3-Year,2025-05-15,Standard,13.0,121.94,,Current,Low,Yes
43299,0,68.0,Female,south,Dip,Gold,Month-to-month,2023-07-06,Premium,78.0,45.79,Credit Card,Current,Very High,Yes
19126,0,56.0,Female,North,HS,Bronze,3-Year,2023-04-26,STANDARD,86.0, 147.52 ,Electronic Check,Current,High,Yes
12227,0,-5.0,Female,East,Bachelors,Bronze,Two year,2022-06-09,Basic,116.0,93.94,Credit Card,Current,Low,No
46543,1,29.0,Female,Central,PhD,Silver,3-Year,2024-05-10,Standard,49.0,105.165,Crypto,Current,High,Yes
27066,1,43.0,Male,West,PhD,Platinum,One year,2023-10-27,Basic,68.0, 105.165 ,Electronic Check,Current,High,Yes
43491,0,59.0,Female,East,Diploma,Silver,One year,2022-09-17,Premium,107.0,101.31,Bank Transfer,60+,High,No
42400,0,54.0,Male,South,High School,Silver,Month-to-month,2023-10-05,Standard,70.0,186.44,Crypto,Current,Medium,No
40412,0,38.0,Female,West,Diploma,Bronze,3-Year,2022-11-28,STANDARD,99.0,34.76,Crypto,Current,High,No
22475,0,49.0,Male,South,High School,Bronze,3-Year,2024-08-03,Ultra,41.0,126.46,Pay Pal,Current,High,Yes
22801,0,25.0,Male,West,Diploma,Gold,3-Year,2023-01-25,Premium,940.0,121.05,Crypto,60+,Medium,No
19110,0,23.0,Male,Central,HS,Silver,Month-to-month,2022-07-08,Ultra,113.0,145.59,Credit Card,30+,Very High,Yes
37716,0,75.0,Male,East,HS,Silver,One year,2024-12-16,Ultra,28.0,119.59,PayPal,Current,Medium,Yes
939,1,29.0,Female,Central,Diploma,Gold,Month-to-month,2025-09-15,Standard,1.0,95.19,Credit Card,Current,High,Yes
13591,0,47.0,Female,South,PhD,Silver,Month-to-month,2024-12-08,Basic,28.0,105.165,Electronic Check,Current,Low,No
38183,0,44.0,Female,Central,Diploma,Platinum,Month-to-month,2022-12-28,Premium,97.0,47.86,PayPal,60+,Medium,Yes
12146,0,76.0,Male,West,Diploma,Silver,Month-to-month,2024-01-15,Basic,60.0,35.63,cash,60+,Medium,Yes
27521,1,31.0,Female,South,Diploma,Bronze,Month-to-month,2024-08-03,Basic,41.0,63.54,Credit Card,Current,Medium,Yes
22596,0,58.0,Female,West,High School,Silver,Month-to-month,2023-08-04,Standard,76.0,118.24,PayPal,Current,Very High,No
4050,0,42.0,Female,North ,Diploma,Bronze,3-Year,2023-06-16,Standard,81.0,105.165,Bank_Transfer,Current,High,Yes
42056,0,42.0,Male,West,Diploma,Silver,Two year,2022-10-22,Premium,103.0,78.31,credit card,Current,Low,No
18189,0,25.0,Female,South,PhD,Gold,Month-to-month,2024-05-09,Basic,49.0,73.28,Bank Transfer,Current,Very High,Yes
20899,0,20.0,Female,South,Bachelors,Bronze,3-Year,2023-10-19,Basic,69.0,51.83,Crypto,30+,Low,No
15095,1,64.0,Male,West,Diploma,Bronze,3-Year,2024-04-21,Basic,51.0,86.44,Credit Card,Current,High,No
29979,1,67.0,Female,South,Diploma,Gold,Monthly,2023-09-27,basic,70.0,124.6,Bank Transfer,30+,Low,Yes
42479,0,0.0,Female,West,Masters,Silver,3-Year,2025-01-29,Standard,24.0,117.32,,Current,Very High,Yes
41122,1,45.0,Male,North,diploma,Silver,3-Year,2024-03-12,Basic,55.0,94.29,eCheck,30+,High,True
18178,1,68.0,M,North,Masters,Bronze,Month-to-month,2024-12-14,Ultra,28.0,142.24,eCheck,Current,Low,Yes
24102,0,57.0,Female,North,Bachelors,Silver,One year,2024-08-15,Basic,39.0,106.88,Bank Transfer,Current,Medium,Yes
42639,0,72.0,Male,Central,Masters,Diamond,Month-to-month,2022-06-13,STANDARD,116.0,142.89,Credit Card,Current,Low,Yes
19992,0,70.0,Male,Central,High School,Bronze,Two year,2023-08-09,Standard,75.0,178.75,Bank Transfer,60+,Low,Yes
22760,0,49.0,Female,South,Ph.D.,Silver,3-year,2022-06-27,Standard,114.0,104.28,Mailed Check,Current,Low,1
11328,1,39.0,Male,West,Bachelors,Gold,3-Year,2025-07-15,STANDARD,8.0,105.165,cash,90+,Low,No
31956,0,31.0, MALE,North,Diploma,Silver  ,One year,2025-01-11,STANDARD,25.0,172.79,cash,90+, High ,Yes
12197,1,71.0,Female,SOUTH,Diploma,Platinum,Month-to-month,2023-11-26,STANDARD,65.0,89.91,Credit Card,30+,High,No
16959,0,36.0,Male,East,Masters,Silver,Month-to-month,2025-07-09,Premium,8.0,102.28,Crypto,Current,High,No
41332,0,52.0,F,West,High School,Silver,Month-to-month,2023-02-13,STANDARD,92.0,193.68,Credit Card,Current,Very High,Yes
34517,1,49.0,Female,East,Diploma,Platinum,3-Year,2025-10-02,Ultra,0.0, 153.99 ,Bank Transfer,Current,Low,No
18296,0,23.0,Male,West,High School,Gold,M2M,2023-10-19,STANDARD,69.0,136.5,Crypto,Current,High,Yes
39381,0,78.0,Female,South,High School,Bronze,Month-to-month,2023-06-05,Basic,81.0,€113.75,PayPal,Current,High,Yes
987,0,47.0,Male, South,Diploma,Bronze,3-Year,2023-01-28,STANDARD,94.0,151.04,cash,Current,High,Yes
5176,0,57.0,Female,Central,Bachelors,Bronze,Month-to-month,2024-04-12,Basic,52.0,67.38,Crypto,Current,Low,Yes
39274,1,69.0,F,North,High School  ,Bronze,3-year,2025-07-28,Ultra,7.0,79.44,,Current,High,Yes
11085,1,53.0,M,South,Bachelors,Silver,M2M,2025-10-01,Standard,0.0,184.58,Mailed Check,90+,Low,Y
48572,0,30.0,Male,South,Diploma,Bronze,3-Year,2025-05-07,Basic,14.0,95.42,Credit Card,30+,Very High,Yes
47317,0,31.0,MALE,West,Diploma,Bronze,two year,2025-02-11,STANDARD,23.0, 93.03 ,PayPal,Current,High,Yes
18644,1,74.0,Female,North,Bachelors,Platinum,One year,2024-05-09,Ultra,49.0,122.37,Electronic Check,Current,Medium,Yes
8852,0,70.0,Male,North,PhD,Bronze,3-Year,2023-05-03,Basic,85.0,67.23,Crypto,Current,Low,Yes
7941,1,18.0,Male,Central,Bachelors,Gold,Month-to-month,2024-05-28,Premium,47.0,187.43,PayPal,90+,Very High,No
2724,1,66.0,Female,East,Masters,Bronze,3-Year,2025-07-05,Basic,9.0,93.36,Electronic Check,Current,Very High,Yes
25894,0,28.0,Female,North,Diploma,Gold,Month-to-month,2023-07-19,standard,77.0,159.77,Bank Transfer,Current,Low,Yes
6320,0,43.0,male,South,High School,Silver,Month-to-month,2023-05-01,Basic,85.0,146.19,cash,Current,Low,No
6039,1,37.0,Female,Central,Diploma,Bronze,One year,2023-04-02,Ultra,87.0,105.165,Credit Card,30+,Low,No
3514,1,49.0,Male,West,PhD,Silver,3-Year,2024-12-09,basic,29.0,11.89,,Current,Low,Yes
44248,0,42.0,male,North,Masters,Bronze,One year,2024-08-13,Basic,40.0,105.165,Bank Transfer,Current,Low,Yes
15936,1,78.0,Male,Central,Bachelors,Bronze,Month-to-month,2024-05-25,Ultra,48.0,184.06,Mailed Check,30+,High,Yes
16482,1,71.0,Male,North,Bachelors,Silver,Monthly,2022-10-17,Basic,103.0,€56.30,Crypto,30+,Low,No
29066,1,,Male,West ,Bachelors,Silver,One year,2023-08-17,Basic,74.0,143.51,Credit Card,Current,Very High,Yes
26866,1,79.0,Male,North,Diploma,Diamond,One year,2024-10-05,Premium,35.0,56.68,Credit Card,Current,Low,no
26195,0,48.0,Male,East,DIPLOMA,Bronze,Month-to-month,2023-04-27,Standard,85.0,165.89,PayPal,Current,Low,No
47355,0,18.0,Female,East,Diploma,Silver,One year,2022-07-27,Premium,111.0,114.61,,Current,Low,Yes
44933,0,53.0,Male,south,PhD,Gold,3-Year,2025-03-07,Ultra,20.0,155.67,PayPal,Current,High,No
45298,1,52.0,Female,East,High School,Silver,Two year,2025-01-14,standard,25.0,127.54,Crypto,Current,Low,No
14044,0,67.0,Male,Central,Diploma,Gold,MTM,2024-10-27,Basic,33.0,35.61,Crypto,30+,Low,Yes
30327,0,35.0,Male,Central,Diploma,Bronze,One year,2023-10-29,STANDARD,68.0,177.11,PayPal,Current,Medium,Yes
17352,0,78.0,Male,East,PhD,Diamond,3-Year,2022-09-27,Basic,105.0,147.16,PayPal,Current,Low,No
22717,0,29.0,Male,North,Diploma,Gold,One year,2022-11-28,Standard,99.0,180.9,Mailed Check,Current,Medium,Yes
35486,0,48.0,M,South,High School,Silver,Two year,2023-06-18,Ultra,80.0,72.29,Bank Transfer,Current,Medium,Yes
5591,0,63.0,Male,South,Diploma,Bronze,One year,2024-07-23,Basic,42.0,30.52,Credit Card,Current,High,No
26340,0,55.0,Female,South,Diploma,Bronze,One year,2023-06-02,Ultra,82.0,157.13,credit card,Current,Medium,Yes
23674,0,49.0,Female ,West,Diploma,Gold,Month-to-month,2025-08-19,Ultra,4.0,€77.77,cash,Current,High,No
28986,0,49.0,Male,Central,Diploma,Gold,Month-to-month,2023-05-25,Ultra,82.0,190.31,Credit Card,Current,High,Yes
1043,0,21.0,Female,East,Diploma,Bronze,Two year,2023-08-06,Basic,75.0,108.34,,Current,Low,Yes
44408,0,45.0,Female,South,Masters,Diamond,2-year,2022-11-09,Basic,101.0,136.98,cash,Current,Low,1
2341,1,51.0,MALE,East,Diploma,Bronze,2 year,2025-09-10,Ultra,2.0, 198.75 ,Bank Transfer,30+,Very High,No
33267,0,54.0,Male,East,Bachelors,Gold,Month-to-month,2024-07-16,Ultra,43.0,105.165,PayPal,Current,Very High,True
39509,0,34.0,Female,Central,,Diamond,Two year,2023-07-26,premium,77.0,68.49,Mailed Check,Current,High,yes
26371,0,62.0,female,East,Diploma,Bronze,Two year,2024-10-28,Ultra,32.0,153.33,Mailed Check,Current,Medium,No
46380,1,48.0,Male,East,Diploma,Gold,Month-to-month,2001-05-15,Standard,853.0,77.64,Mailed Check,Current,Medium,No
4345,0,29.0,Female,North,PhD,Platinum,month-to-month,2023-07-28,Standard,77.0,138.62,Mailed Check,Current,Low,Yes
48530,0,71.0,Male,Central,Masters,Silver,Two year,2022-10-29,STANDARD,103.0,$51.66,Electronic Check,Current,Medium,No
29181,1,25.0,Male,East,Diploma,Gold,One year,2025-03-26,Ultra,18.0,144.78,PayPal,Current,Very High,No
12866,0,78.0,Male,Central,Diploma,Bronze,One year,2023-10-20,Basic,69.0,112.01,Bank Transfer,Current,Low,Yes
23766,1,32.0,Male,North,High School,Bronze,one year,2024-03-02,Basic,56.0,124.68,cash,Current,Low,Y
20995,0,20.0,Male,East,Diploma,Bronze,Month-to-month,2023-05-30,STANDARD,82.0,$180.81,Credit Card,Current,High,No
43098,0,39.0, Female,Central,Diploma,Gold,Two year,2024-03-25,Prem,53.0,25.42,cash,Current,High,Yes
35646,0,62.0,Female,North,Bachelors,Bronze,Month-to-month,2023-11-22,Standard,65.0,90.69,Electronic Check,Current,High,Yes
39634,0,75.0,Male,South,Dip,Bronze,3-Year,2024-12-18,Premium,28.0,89.29,Crypto,Current,Low,Yes
7901,0,57.0, Female,North,PhD,Gold,Two year,2025-09-19,Standard,1.0,45.62,PayPal,Current,High,0
4125,0,51.0,Male,East,Masters,Bronze,Month-to-month,2025-06-03,Basic,12.0,105.165,,Current,Medium,yes 
29013,0,38.0,Male,North,Masters,Silver,Month-to-month,2024-05-01,Basic Plan,50.0,150.68,Bank Transfer,Current,Low,No
37920,0,49.0,Male,East,PhD,Silver,One year,2024-11-20,Premium,30.0,163.08,Electronic Check,Current,Low,No
3908,0,60.0,Female ,South,Diploma,Silver,Month-to-month,2022-09-20,Ultra,106.0,114.83,Mailed Check,Current,Low,No
47100,0,48.0,Male,West,PhD,Bronze,Month-to-month,2024-12-30,Ultra,26.0,€64.10,Bank Transfer,Current,Very High,Yes
