"Statistic Label","Year","Partner Region","Trade Flow","Percentage of Turnover Exported","NACE Rev 2 Activity","UNIT","VALUE"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Computer, electronic and optical products (C26)","Euro Thousand","1768.655"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Electrical equipment (C27)","Euro Thousand","8160.538"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Machinery and equipment n.e.c. (C28)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand","1223.234"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Other transport equipment (C30)","Euro Thousand","129.646"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Furniture (C31)","Euro Thousand","7146.258"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Other manufacturing (C32)","Euro Thousand","9543.275"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Repair and installation of machinery and equipment (C33)","Euro Thousand","18894.628"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand","2473.379"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand","4120.658"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Construction (F)","Euro Thousand","150425.32"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","4225531.449"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand","1473031.669"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","2131017.183"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand","621482.597"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Transportation and storage (H)","Euro Thousand","56338.177"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Accommodation and Food and Other Services (I, O to U)","Euro Thousand","110136.993"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Information and communication (J)","Euro Thousand","77310.415"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Financial and insurance activities (K)","Euro Thousand","162895.687"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Real estate activities (L)","Euro Thousand","3447.19"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Professional, scientific and technical activities (M)","Euro Thousand","216625.647"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Administrative and support service activities (N)","Euro Thousand","1491669.508"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Unknown","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Total Trade in Goods","Euro Thousand","6912170.201"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Agriculture, forestry and fishing (A)","Euro Thousand","37701.399"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","2912226.216"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Mining and quarrying (B)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Industry (B - E)","Euro Thousand","1196119.112"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Manufacturing (C)","Euro Thousand","1124868.108"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Food products (C10)","Euro Thousand","153729.078"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Beverages (C11)","Euro Thousand","42573.61"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Tobacco products (C12)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Textiles (C13)","Euro Thousand","11538.032"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Wearing apparel (C14)","Euro Thousand","1543.095"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Leather and related products (C15)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Wood and wood products, except furniture (C16)","Euro Thousand","10155.822"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Paper and paper products (C17)","Euro Thousand","41960.242"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Printing and reproduction of recorded media (C18)","Euro Thousand","11939.524"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Coke and refined petroleum products (C19)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Chemicals and chemical products (C20)","Euro Thousand","64734.387"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Basic pharmaceutical products and preparations (C21)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Rubber and plastic products (C22)","Euro Thousand","38780.137"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Other non-metallic mineral products (C23)","Euro Thousand","71547.459"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Basic metals (C24)","Euro Thousand","30652.371"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","38798.218"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Computer, electronic and optical products (C26)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Electrical equipment (C27)","Euro Thousand","16448.65"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Machinery and equipment n.e.c. (C28)","Euro Thousand","35283.979"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand","390.225"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Other transport equipment (C30)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Furniture (C31)","Euro Thousand","7035.851"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Other manufacturing (C32)","Euro Thousand","53781.965"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Repair and installation of machinery and equipment (C33)","Euro Thousand","25678.263"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand","7269.471"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Construction (F)","Euro Thousand","51748.22"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","5227806.563"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand","528533.959"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","3272711.228"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand","1426561.376"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Transportation and storage (H)","Euro Thousand","100920.904"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Accommodation and Food and Other Services (I, O to U)","Euro Thousand","20036.394"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Information and communication (J)","Euro Thousand","571827.834"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Financial and insurance activities (K)","Euro Thousand","108510.3"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Real estate activities (L)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Professional, scientific and technical activities (M)","Euro Thousand","68886.087"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Administrative and support service activities (N)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Unknown","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","1-24% Turnover Exported","Total Trade in Goods","Euro Thousand","9336151.891"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Agriculture, forestry and fishing (A)","Euro Thousand","1226.181"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Mining and quarrying (B)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Industry (B - E)","Euro Thousand","1001043.455"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Manufacturing (C)","Euro Thousand","1000957.293"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Food products (C10)","Euro Thousand","132852.546"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Beverages (C11)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Tobacco products (C12)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Textiles (C13)","Euro Thousand","1224.341"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Wearing apparel (C14)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Leather and related products (C15)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Wood and wood products, except furniture (C16)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Paper and paper products (C17)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Printing and reproduction of recorded media (C18)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Coke and refined petroleum products (C19)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Chemicals and chemical products (C20)","Euro Thousand","71680.816"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Basic pharmaceutical products and preparations (C21)","Euro Thousand","207861.965"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Rubber and plastic products (C22)","Euro Thousand","66343.321"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Other non-metallic mineral products (C23)","Euro Thousand","15895.868"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Basic metals (C24)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","14793.004"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Computer, electronic and optical products (C26)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Electrical equipment (C27)","Euro Thousand","25450.894"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Machinery and equipment n.e.c. (C28)","Euro Thousand","30747.259"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand","4478.616"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Other transport equipment (C30)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Furniture (C31)","Euro Thousand","2846.347"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Other manufacturing (C32)","Euro Thousand","10104.677"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Repair and installation of machinery and equipment (C33)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Construction (F)","Euro Thousand","1675.135"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","397409.634"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand","18850.579"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Transportation and storage (H)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Accommodation and Food and Other Services (I, O to U)","Euro Thousand","570.711"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Information and communication (J)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Financial and insurance activities (K)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Real estate activities (L)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Professional, scientific and technical activities (M)","Euro Thousand","11088.707"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Administrative and support service activities (N)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Unknown","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","25-49% Turnover Exported","Total Trade in Goods","Euro Thousand","4121935.087"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Agriculture, forestry and fishing (A)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Mining and quarrying (B)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Industry (B - E)","Euro Thousand","1379443.876"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Manufacturing (C)","Euro Thousand","1378542.102"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Food products (C10)","Euro Thousand","68636.318"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Beverages (C11)","Euro Thousand","26043.551"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Tobacco products (C12)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Textiles (C13)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Wearing apparel (C14)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Leather and related products (C15)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Wood and wood products, except furniture (C16)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Paper and paper products (C17)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Printing and reproduction of recorded media (C18)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Coke and refined petroleum products (C19)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Chemicals and chemical products (C20)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Basic pharmaceutical products and preparations (C21)","Euro Thousand","347085.277"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Rubber and plastic products (C22)","Euro Thousand","52373.121"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Other non-metallic mineral products (C23)","Euro Thousand","6846.073"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Basic metals (C24)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","14809.706"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Computer, electronic and optical products (C26)","Euro Thousand","62463.668"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Electrical equipment (C27)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Machinery and equipment n.e.c. (C28)","Euro Thousand","74301.049"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Other transport equipment (C30)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Furniture (C31)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Other manufacturing (C32)","Euro Thousand","45712.672"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Repair and installation of machinery and equipment (C33)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Construction (F)","Euro Thousand","332.423"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","142948.685"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Transportation and storage (H)","Euro Thousand","1052.712"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Accommodation and Food and Other Services (I, O to U)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Information and communication (J)","Euro Thousand","1124.565"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Financial and insurance activities (K)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Real estate activities (L)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Professional, scientific and technical activities (M)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Administrative and support service activities (N)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Unknown","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","50-74% Turnover Exported","Total Trade in Goods","Euro Thousand","1613035.162"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Agriculture, forestry and fishing (A)","Euro Thousand","3591.312"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","2361344.345"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Mining and quarrying (B)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Industry (B - E)","Euro Thousand","3940456.31"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Manufacturing (C)","Euro Thousand","3928271.775"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Food products (C10)","Euro Thousand","396548.669"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Beverages (C11)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Tobacco products (C12)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Textiles (C13)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Wearing apparel (C14)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Leather and related products (C15)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Wood and wood products, except furniture (C16)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Paper and paper products (C17)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Printing and reproduction of recorded media (C18)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Coke and refined petroleum products (C19)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Chemicals and chemical products (C20)","Euro Thousand","473547.226"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Basic pharmaceutical products and preparations (C21)","Euro Thousand","2016631.988"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Rubber and plastic products (C22)","Euro Thousand","37647.023"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Other non-metallic mineral products (C23)","Euro Thousand","6221.288"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Basic metals (C24)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","23526.48"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Computer, electronic and optical products (C26)","Euro Thousand","186030.197"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Electrical equipment (C27)","Euro Thousand","12532.048"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Machinery and equipment n.e.c. (C28)","Euro Thousand","325159.116"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand","157126.769"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Other transport equipment (C30)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Furniture (C31)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Other manufacturing (C32)","Euro Thousand","212523.47"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Repair and installation of machinery and equipment (C33)","Euro Thousand","7573.961"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Construction (F)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","699218.796"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","668522.952"
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","75%+ Turnover Exported","Transportation and storage (H)","Euro Thousand",""
