CustomerID,LoginsLastMonth,LastLoginDate,RFMScore,UsageChangePct,CompetitorIndex,TicketsOpened,TicketsResolutionTime,ComplaintCategory,FamilyPlan,AddOnBundle,SupportChannelPreferred,MonthlyValue
14807,44.0,2025-09-23,4.0,-0.679275873,0.29816816,11,36.64176042,Technical,No,Movies,App,849.71
23983,8.0,2025-08-07,11.0,-0.062481052,0.619858534,4,31.36673566,Technical,Yes,Movies,Phone,271.39
23643,2.0,2025-06-20,13.0,0.983841857,0.417167446,5,39.76102284,Technical,No,Movies,Email,424.18
18477,18.0,2025-07-19,2.0,-0.675100255,0.819550247,15,17.51784472,Billing,Yes,Movies,Chat,557.43
14319,43.0,2025-10-02,9.0,0.367203302,0.514899543,6,67.38160578,Technical,Yes,Movies,Chat,852.27
4260,13.0,2025-08-22,12.0,0.650459139,0.968831608,11,12.12898839,Technical,No,Security,Chat,287.96 EUR
13947,27.0,2025-09-13,5.0,0.356335633,0.186753403,7,34.91264726,Billing,Yes,Movies,Social,519.14
3728,34.0,2025-09-13,6.0,0.275009153,0.362288333,6,36.66284179,Technical,No,Movies,Phone,468.29
719,41.0,2025-09-26,7.0,-0.622323825,0.465371169,10,55.59664061,Other,Yes,Movies,Chat,1168.26
32530,96.0,2025-09-29,9.0,-0.785668414,0.789363699,13,17.82092591,Billing,Yes,WorkFromHome,Phone,492.65
21457,47.0,2025-09-28,5.0,0.868232868,0.109384635,0,8.977636389,Billing,Yes,International,Chat,10.0
18494,84.0,2025-10-01,13.0,0.523191609,0.805817198,17,61.47035334,Technical,Yes,Sports,Email,2187.08
25917,21.0,2025-06-26,5.0,0.281570385,0.776017132,3,37.81680798,Technical,No,Movies,Phone,246.36
32366,15.0,2025-08-31,3.0,0.039332433,0.344011978,14,12.56652752,Technical,0,Movies,Phone,376.52
11906,95.0,2025-09-28,6.0,0.264595143,0.562593509,13,36.83972144,Service,No,Movies,Chat,1007.74
35889,34.0,2025-07-23,8.0,0.375603856,0.04201949,5,26.77894795,Billing,No,Kids,Phone,288.95
44470,81.0,2025-10-01,10.0,0.495399769,0.699470077,16,34.31387026,Technical,No,Movies,Chat,1153.8
48288,62.0,2025-09-27,5.0,-0.837714828,0.752371414,14,20.19234934,Technical,No,Kids,Phone,598.94
38686,81.0,2025-06-13,9.0,0.582214602,0.887343718,14,4.54916828,Technical,Yes,Movies,Phone,142.68
27682,80.0,2025-09-26,11.0,-0.822945621,0.214820563,11,57.99373606,Technical,Yes,WorkFromHome,Phone,66951.0
6042,11.0,2025-08-08,2.0,-0.71955434,0.747450334,16,61.55610355,Technical,Yes,Movies,Social,2061.87
34228,43.0,2025-05-20,10.0,-0.513214961,0.940348451,13,27.39099024,Service,No,Movies,Phone,37592.0
44703,59.0,2025-09-29,8.0,0.517786019,0.553297231,19,15.24727046,Technical,Yes,Kids,Phone,613.54
443,46.0,2025-09-22,10.0,-0.232333631,0.519671099,13,44.93761797,Technical,No,Movies,Email,1227.06
39976,17.0,2025-08-25,11.0,0.252760712,0.917407443,17,6.142664352,Technical,Yes,WorkFromHome,Chat,227.55
32271,28.0,2025-09-06,6.0,-0.498792482,0.867331569,11,5.498264635,Technical,No,Movies,Phone,136.0
34835,28.0,2025-06-05,8.0,0.608948017,0.816927718,7,37.2335238,Technical,no,Movies,Phone,552.99
36438,26.0,2025-09-16,14.0,0.019811828,0.00046052,4,50.03304706,Outage,Yes,Movies,Phone,426.94
16197,25.0,2025-09-22,8.0,0.543809486,0.492247071,17,25.76075741,Technical,No,Movies,Chat, 922.36 
39913,10.0,2025-09-01,6.0,0.376120746,0.069452209,11,9.979674142,Service,No,Sports,Phone,238.7
47867,99.0,2025-09-28,14.0,-0.573340714,0.330055356,0,45.56520051,Technical,No,Movies,Email,10.0
822,59.0,2025-09-29,12.0,0.543060951,0.327288381,4,2.101068972,Technical,No,Movies,Phone,27.51
14907,15.0,2025-10-10,12.0,0.175747924,0.593509035,0,18.91111675,Technical,No,Kids,Phone,10.0
30643,72.0,2025-09-29,3.0,-0.907668741,0.148375838,0,47.43555753,Technical,No,Movies,Phone,10.0
46169,44.0,2025-07-15,13.0,0.229305168,0.963573508,15,70.53740656,Technical,No,Movies,Phone,2214.29
24093,68.0,2025-10-02,6.0,0.145983271,0.431348887,16,70.10232089,Retention,No,Movies,Phone,2346.74 EUR
14078,26.0,2025-03-03,10.0,-0.924153229,0.78025909,4,49.3211148,Technical,Yes,Movies,Email,421.01
15792,10.0,2025-08-08,6.0,-0.495226323,0.684388952,14,2.199973736,Billing,No,Movies,Phone,74.17
8788,45.0,2025-10-02,3.0,0.97334287,0.314345545,0,15.82097496,Technical,No,WorkFromHome,Email,10.0
41426,27.0,2025-05-07,1.0,-0.180351763,0.798306216,12,29.75349517,Service,0,Movies,App,753.84
15105,42.0,2025-09-29,9.0,0.51925832,0.401708838,11,44.88922181,Technical,Yes,Movies,Phone,1038.71
26901,83.0,2025-09-25,7.0,-0.383669696,0.551505546,5,25.63668196,Technical,Yes,Movies,Phone,€ 277.05
3811,95.0,2025-09-29,14.0,-0.037502982,0.579203345,1,71.38338593,Retention,No,Movies,Phone,158.72
46800,50.0,2025-09-23,8.0,-0.94710775,0.682810142,14,57.43017003,Technical,Yes,Security,Chat,"1,685.05"
13297,85.0,2025-09-23,1.0,-0.568953892,0.092201644,1,42.45713022,Outage,yes ,WorkFromHome,Phone,98.45
1056,51.0,2025-09-27,11.0,0.053238687,0.324098614,16,47.04300759,Technical,Yes,Movies,Phone,1578.1
10460,49.0,2025-09-29,10.0,0.743097922,0.037194288,11,52.665133,Outage,No,Movies,Chat,1216.91
31199,9.0,2025-04-09,4.0,-0.855519176,0.564639603,19,33.79100303,Technical,False,Sports,Email,1347.56
37689,38.0,2025-08-19,8.0,-0.53392383,0.755867329,7,0.845544315,Technical,Yes,Movies,Phone,22.33
23295,88.0,2025-06-10,13.0,0.114184749,0.738847901,10,39.644277,Technical,Yes,Movies,Chat,835.92
43824,27.0,2025-09-21,12.0,0.047142603,0.090324175,8,25.32174049,Technical,No,Movies,Chat,432.03
43798,11.0,2025-07-30,14.0,-0.995458204,0.477711333,18,42.51989125,Retention,Yes,Movies,Community,1604.5
28710,36.0,2025-09-27,3.0,0.416349016,0.065926352,7,27.29541426,Technical,No,Movies,App,408.06
45343,97.0,2025-09-22,13.0,-0.722247373,0.846368445,7,12.53209455,Technical,No,Movies,Email,192.76 EUR
45029,18.0,2025-08-30,9.0,0.60514064,0.421251149,14,63.84076096,Technical,No,Movies,Social,"1,872.02"
17491,49.0,2025-09-30,1.0,0.491322792,0.576631345,2,8.974310707,Technical,Yes,Movies,Phone,47.39 EUR
33056,14.0,2025-07-20,13.0,-0.425651813,0.596435864,11,33.54354227,Technical,No,Movies,Phone,778.71
3437,4.0,2025-05-21,4.0,-0.401793119,0.533937068,7,22.99481765,Other,Yes,Movies,Email, 345.34 
45620,81.0,2025-07-29,10.0,0.223687171,0.515230663,8,13.58330964,Technical,No,Movies,Chat,236.39
47702,44.0,2025-02-27,6.0,-0.446446674,0.989933734,6,54.46474469,Service,No,Movies,Phone,690.81
25072,8.0,2025-07-17,9.0,-0.834103968,0.357307493,8,27.74921848,Service,Yes,Movies,Email,472.49
14500,17.0,2025-09-03,13.0,0.658508926,0.284425813,18,5.601290953,Technical,No,WorkFromHome,Chat,220.05
22814,37.0,2025-08-27,13.0,-0.359059291,0.643945209,3,25.45995098,Technical,Yes,Movies,Community,169.12
41174,95.0,2025-10-01,12.0,-0.130607084,0.423989463,1,14.97503017,Technical,Yes,Movies,Community,41.2
34257,75.0,2025-10-01,7.0,0.196624044,0.28425337,10,8.645687802,Technical,Yes,Sports,Email,190.12
5511,52.0,2025-05-18,7.0,-0.366766707,0.028640857,17,44.59499712,Technical,Yes,Movies,Email,"1,589.41"
328,54.0,2025-09-30,3.0,0.019056153,0.340873064,5,12.89463105,Technical,Yes,WorkFromHome,Community,144.32
8684,4.0,2025-04-19,10.0,-0.743519465,0.393239947,11,43.79402394,Technical,No,Movies,Phone,1013.61
28047,37.0,2025-06-09,8.0,0.697548509,0.161003122,9,61.66687229,Service,Yes,Sports,Chat,1166.25
44146,44.0,2025-09-28,11.0,-0.616144214,0.797168425,11,59.23309475,Technical,Yes,Movies,App,1367.43
45891,85.0,2025-09-30,6.0,0.477833702,0.529211649,9,1.528516908,Technical,No,Movies,Chat,38.66
10583,88.0,2025-09-27,8.0,0.052791338,0.966723232,18,65.97290215,Service,0,Movies,Social,2483.98
48997,11.0,2025-08-26,4.0,0.067432081,0.966219397,0,1.217917017,Technical,Yes,Kids,Email,10.0
14905,58.0,2025-10-01,12.0,-0.698462066,0.055979164,0,21.93546446,Technical,No,Security,Community,10.0 EUR
18111,40.0,2025-09-03,12.0,-0.194585548,0.858149977,14,62.75925249,Technical,YES,Movies,Email,1840.48
48197,99.0,2025-09-29,9.0,0.202058115,0.778569913,6,37.38252805,Outage,Yes,WorkFromHome,Email,477.28
26735,25.0,2025-08-19,13.0,-0.796425092,0.945875421,6,59.50353436,Billing,No,Music,Phone,753.79 EUR
41891,15.0,2025-09-04,9.0,0.644254681,0.392363579,13,17.02621608,Outage,Yes,Movies,Chat,471.13
14913,8.0,2025-07-18,7.0,-0.369804911,0.25041514,13,44.55003835,Technical,Yes,WorkFromHome,Email,1216.56
14539,5.0,2025-08-12,14.0,0.968604606,0.215666987,8,49.5830814,Technical,No,International,Phone,836.38
42113,70.0,2025-09-30,11.0,-0.526110591,0.258690588,11,48.47548082,Technical,Yes,Security,Phone,1120.9
48108,78.0,2025-09-30,7.0,0.009587317,0.798887782,13,71.32203818,Technical,No,Sports,Community,1941.64
47503,56.0,2025-09-29,6.0,-0.492928739,0.877995527,7,60.15165496,Technical,No,Movies,Chat,887.21 EUR
14511,95.0,2025-10-02,4.0,0.92368684,0.182713391,3,58.90571394,Outage,Yes,Movies,Phone,378.16
41776,49.0,2025-09-30,,-0.233771976,0.551349715,14,39.33359483,Technical,No,Movies,Phone,1157.23
34751,72.0,2025-10-02,,-0.479351592,0.796135904,6,50.65139752,Technical,No,Movies,App,643.14
49213,92.0,2025-09-29,10.0,0.805482372,0.006553861,10,29.80867581,Technical,No,WorkFromHome,Email,631.01
15531,46.0,2025-09-30,14.0,0.635374046,0.560225492,1,36.72683132,Outage,No,WorkFromHome,Phone,86.51
46115,48.0,2025-05-08,7.0,-0.951101642,0.198455398,5,47.6122967,Billing,No,Sports,Community,505.96
23655,1.0,2025-08-14,4.0,0.355812873,0.995390967,1,35.79442305,Service,No,Security,Community,84.57
749,38.0,2025-09-18,10.0,-0.959623508,0.891165968,3,25.81193414,Technical,No,WorkFromHome,Email,171.32
39079,69.0,2025-09-26,5.0,-0.909121182,0.327364321,4,9.649944983, Technical ,No,Gamer,Social,90.42
44956,93.0,2025-05-08,9.0,-0.680486832,0.796303416,18,71.82753448,Technical,No,Movies,Email,2703.53
14792,35.0,2025-09-15,13.0,0.865034404,0.929203418,8,39.74740953,Technical,Yes,Movies,Phone,672.46
33517,90.0,2025-07-30,8.0,0.566043061,0.992997074,12,69.09294605,Service,No,WorkFromHome,Chat,1737.32
347,42.0,2025-10-01,13.0,0.987798321,0.784628216,12,37.49356956,Outage,No,WorkFromHome,Email,947.34
20408,22.0,2025-09-13,3.0,0.902435239,0.070725033,16,1.821619611,Technical,No,Movies,App,70.72
49067,18.0,2025-06-06,3.0,-0.317079267,0.711758415,9,61.78185201,Technical,Yes,Movies,Chat,1168.41
15085,84.0,2025-07-27,9.0,0.589184919,0.800744722,9,20.17297143,Billing,Yes,WorkFromHome,Phone,388.24
1930,55.0,2025-08-13,12.0,-0.183123323,0.140808615,7,6.563516548,Billing,False,WorkFromHome,Chat,105.72
37357,38.0,2025-09-05,12.0,-0.953693766,0.349810499,7,41.01472414,Technical,No,WorkFromHome,Phone,608.13
43299,56.0,2025-09-28,5.0,0.492516545,0.654127217,8,32.94096039,Technical,No,Movies,Chat,559.02
19126,30.0,2025-09-12,14.0,0.158316161,0.666870323,8,31.39345012,Technical,Yes,Movies,Chat,533.22
12227,12.0,2025-07-19,10.0,-0.739932811,0.789863949,7,0.852024392,Technical,Yes,Security,Email,22.43
46543,76.0,2025-01-06,9.0,-0.807014711,0.50277239,11,59.22823123,Technical,No,Security,Phone,1367.31
27066,82.0,2025-07-17,5.0,0.417027886,0.606398339,10,210.9546209,Technical,Yes,Movies,Chat,4404.89
43491,22.0,2025-09-11,11.0,-0.092465032,0.347492225,9,19.22031533,Technical,Yes,Movies,Phone,370.38
42400,84.0,2025-09-30,9.0,0.972779193,0.413605336,8,15.2709757,Retention,No,Movies,Chat,264.52
40412,44.0,2025-10-02,13.0,0.461262314,0.640704274,18,6.582167151,Technical,no,Movies,App,256.83
22475,27.0,2025-09-22,6.0,-0.434154878,0.45713167,18,65.38895417,,No,Movies,Email,2462.09
22801,85.0,2025-10-02,7.0,0.020918011,0.079704359,10,50.30114236,,Yes, Music , Email ,1057.94
19110,15.0,2025-08-29,12.0,0.988332179,0.177771135,4,26.52540632,Technical,No,Movies,Social,231.05
37716,86.0,2025-09-30,3.0,0.508830194,0.001609454,6,70.4568948,Billing,No,Music,App,890.71
939,47.0,2025-09-16,6.0,-0.371394228,0.088406429,19,45.48401716,Technical,No,Security,Phone, 1810.41 
13591,56.0,2025-10-02,9.0,0.497998593,0.029782611,18,50.60931545,Technical,No,Security,Email,1907.85
38183,91.0,2025-09-28,7.0,-0.669839006,0.188300848,14,36.61748169, Technical ,No,Movies,Phone,1078.01
12146,25.0,2025-08-21,10.0,-0.214304454,0.76341598,0,37.70731387,Technical,No,Movies,Email,10.0
27521,64.0,2025-05-30,10.0,0.187413705,0.031473292,15,5.720574093,Technical,No,WorkFromHome,Chat,188.77
22596,90.0,2025-09-28,11.0,-0.057045303,0.259098359,19,59.78014793,Technical,No,Movies,Community, 2376.30 
4050,5.0,2025-06-18,12.0,-0.048598522,0.588330001,9,55.0666346,,Yes,Sports,Email,1042.5
42056,86.0,2025-09-24,8.0,-0.933130239,0.517608028,9,69.79912732,Technical,Yes,Movies,Phone,1318.73
18189,83.0,2025-09-27,2.0,-0.578583608,0.432234368,7,62.94595616,Technical,No,Security,App,927.96
20899,18.0,2025-08-24,1.0,0.381076474,0.259108038,11,35.05774666,Technical,No,Movies,Phone,813.41
15095,51.0,2025-07-07,6.0,0.739038634,0.344858765,16,68.69882204,Technical,No,Movies,Email,2299.96
29979,72.0,2025-01-21,5.0,-0.321930588,0.07086133,2,37.54448549,Technical,No,Movies,Chat,166.44
42479,77.0,2025-09-30,10.0,-0.211527179,0.700663919,11,6.319777949,Technical,Yes,Security,App,154.83
41122,61.0,2025-07-14,1.0,0.494366717,0.623476151,12,27.77446397,Technical,No,Security,Phone, 704.36 
18178,73.0,2025-05-13,12.0,-0.469266853,0.994561543,4,40.93049141,Technical,No,Sports,Chat,351.09
24102,32.0,2025-09-07,11.0,-0.181663414,0.878667736,6,52.61088102,Technical,Yes,WorkFromHome,Phone,667.64 EUR
42639,45.0,2025-09-30,11.0,0.505831493,0.712567186,13,5.103069172,Technical,No,Movies,Phone,148.21
19992,55.0,2025-09-30,11.0,-0.382939214,0.691535799,12,36.29521741,Technical,No,Movies,Phone, 917.38 
22760,99.0,2025-10-01,8.0,0.154310458,0.317141622,12,20.22933055,Technical,Yes,WorkFromHome,Chat,515.73
11328,13.0,2025-07-16,3.0,0.553774121,0.08485955,14,50.14842922,Service,No,Movies,Chat, 1472.66 
31956,9.0,2025-08-25,9.0,0.402700541,0.040572066,1,20.63477689,Technical,Yes,Movies,Chat,52.99
12197,64.0,2025-03-07,1.0,-0.49570734,0.883009923,11,40.04963942,Technical,Yes,WorkFromHome,Phone,927.8
16959,95.0,2025-09-29,14.0,0.278608287,0.063658064,8,47.74432468,Technical,No,Sports,Email,805.74
41332,49.0,2025-09-29,13.0,0.039475626,0.807292262,0,3.474473031,Technical,No,Movies,Phone,10.0
34517,57.0,2025-10-03,7.0,-0.659332575,0.66465117,4,63.89611602,Billing,Yes,Movies,Email,542.47
18296,26.0,2025-09-04,7.0,-0.153025634,0.718027913,13,3.570337454,Service,No,Movies,Chat,106.7
39381,30.0,2025-09-18,12.0,-0.274274892,0.904315178,14,18.63421021,Technical,Yes,Movies,Social,553.5
987,77.0,2025-09-30,9.0,0.782799795,0.714958888,18,33.03600925,Service,No,Movies,Phone,1248.85
5176,16.0,2025-08-03,2.0,-0.900130707,0.638688401,12,30.91779568,Technical,Yes,Sports,Email,782.94
39274,49.0,2025-07-29,7.0,0.654872282,0.062743887,1,19.84342903,Technical,No,Movies,Phone,51.34
11085,79.0,2025-10-02,12.0,0.685092071,0.727948907,13,11.09694567,Technical,No,Music,Social,310.54 EUR
48572,12.0,2025-07-26,13.0,-0.303704408,0.162586901,7,28.15826081,Technical,Yes,WorkFromHome,Chat,420.64
47317,29.0,2025-09-25,13.0,0.480219173,0.238656511,2,12.7241798,Technical,No,Movies,Phone,63.02
18644,98.0,2025-06-29,4.0,0.890149851,0.775976998,3,70.52241173,Technical,Yes,Sports,Chat,450.77
8852,72.0,2025-10-01,11.0,0.199358072,0.09258214,17,40.20923054,Technical,Yes,Movies,App,1434.08
7941,71.0,2025-07-20,11.0,0.389518317,0.899651062,17,60.73964235,Technical,No,Movies,Email,2161.2
2724,54.0,2025-07-06,2.0,-0.557062234,0.577316823,11,125.3601833,Technical,Yes,Movies,Chat, 38.73 
25894,92.0,2025-09-27,3.0,-0.157488561,0.718046943,12,56.34063279,Technical,Yes,Movies,Phone,1418.52
6320,10.0,2025-08-21,9.0,-0.069516957,0.768917174,15,37.25506977,Technical,No,Movies,Phone,€ 1174.22
6039,59.0,2025-02-25,3.0,-0.720873665,0.898786135,4,58.13483408,Technical,No,Kids,Phone,494.46
3514,69.0,2025-06-16,4.0,0.942566013,0.24748472,6,10.73549723,Technical,No,Movies,Phone,144.19
44248,66.0,2025-09-25,1.0,-0.550831349,0.801051931,1,12.27988344,Technical,Yes,Music,Phone,35.58
15936,50.0,2025-03-18,10.0,-0.563025641,0.692928631,17,43.23789955,Technical,Yes,WorkFromHome,Community,1541.34
16482,3.0,2025-05-31,14.0,-0.097208553,0.547023539,14,39.12912659,Outage,Yes,Sports,Email,1151.27
29066,24.0,2025-07-08,11.0,0.765250107,0.89470837,18,53.94319035,Technical,Yes,Movies,Phone,2032.87
26866,80.0,2025-02-23,3.0,-0.95781847,0.546091081,19,57.10375155,Technical,Yes,Movies,Email,2270.36
26195,91.0,2025-09-27,11.0,-0.638975359,0.274454657,13,59.14340008,Technical,1,Movies,Email,1611.8
47355,77.0,2025-09-24,12.0,-0.709459007,0.821005692,6,69.09371776,,Yes,Security,Chat,873.67
44933,7.0,2025-07-10,9.0,-0.49243906,0.485959772,10,22.76113095,Billing,Yes,Movies,Chat,484.19
45298,51.0,2025-04-27,9.0,-0.37330148,0.057686256,10,29.33717785,Technical,No,Movies,Chat,621.19
14044,24.0,2025-09-25,2.0,0.286555642,0.400344711,14,36.13164863,Technical,No,Sports,Chat,1063.84
30327,91.0,2025-09-26,9.0,-0.398101174,0.743242786,8,19.82010366,Other,N,Movies,Phone,340.34
17352,58.0,2025-09-29,6.0,-0.646003344,0.132115638,1,27.85712108,Technical,No,Movies,Chat,68.04
22717,5.0,2025-08-21,14.0,0.996697434,0.092812573,12,68.11839307,Technical,Yes,Movies,Community,1712.96
35486,90.0,2025-09-23,7.0,-0.28461569,0.535532385,13,-47.10575916,,No,Movies,Phone,1285.78
5591,73.0,2025-09-30,6.0,-0.587728257,0.983724168,7,37.99005177,Technical,No,Kids,Phone,564.02
26340,31.0,2025-09-04,10.0,0.156008614,0.146557219,3,59.85142036,Technical,Yes,Movies,Social,384.07
23674,57.0,2025-09-27,4.0,0.15474375,0.309989778,0,55.21783019,Technical,No,Sports,Email,10.0
28986,10.0,2025-08-11,1.0,-0.190425739,0.041931913,10,41.25052325,Other,No,Movies,Phone,869.39
1043,98.0,2025-10-02,8.0,0.308550483,0.899612843,2,70.90802145,Technical,Yes,International,Chat,305.45
44408,57.0,2025-10-01,1.0,0.95815753,0.251481682,8,8.629171066,Technical,Yes,Movies,Community,153.82
2341,31.0,2025-09-11,8.0,0.740817104,0.982923399,19,15.82785942,Technical,No,Music,Phone,636.52
33267,78.0,2025-10-01,6.0,-0.80301543,0.881231636,7,42.70049418,,Yes,Movies,Email,632.72
39509,95.0,2025-09-29,4.0,-0.825667616,0.380532021,6,4.718632,Technical,0,Sports,Email,68.98
26371,58.0,2025-10-01,7.0,0.739470529,0.633877331,7,13.33864379,Technical,1,Movies,Phone,204.52
46380,78.0,2025-07-21,8.0,0.483870726,0.880546774,15,30.24616209,Technical,Yes,Sports,Email,955.19
4345,29.0,2025-09-24,14.0,0.794837672,0.253070106,11,34.82861924,Outage,No,Music,Phone,808.16
48530,25.0,2025-08-26,5.0,-0.875071083,0.84902514,2,60.1756837,Technical,No,Movies,Email,260.73
29181,72.0,2025-04-28,13.0,-0.732467699,0.946380234,8,35.54192516,Technical,Yes,Movies,Phone,602.37
12866,37.0,2025-09-25,11.0,0.029149991,0.08762481,1,24.70122995,Technical,Y,International,Email,61.46
23766,77.0,2025-02-25,6.0,-0.960495995,0.733422754,17,52.19802335,Technical,No,Music,Chat,1858.68
20995,7.0,2025-08-22,6.0,0.414601019,0.466149449,5,56.66607629,Billing,No,Movies,Social,600.27
43098,41.0,2025-10-01,7.0,0.909373633,0.675072399,4,17.18523247,Technical,No,WorkFromHome,Phone,153.21
35646,82.0,2025-10-01,10.0,-0.240709189,0.337203658,14,57.12692787,Technical,Yes,Movies,Social,1676.2
39634,4.0,2025-06-30,1.0,-0.143836505,0.222409785,12,2.198203944,Technical,No,Movies,Chat,64.96
7901,80.0,2025-09-28,5.0,0.585056355,0.462482148,13,34.42912009,Technical,no ,Security,Phone,942.46
4125,49.0,2025-09-29,9.0,0.618886523,0.687336068,8,64.47635942,Technical,No,Gamer,Chat,1084.61
29013,17.0,2025-08-29,3.0,0.203970487,0.963973383,6,59.80715433,Retention,Yes,Movies,Chat,757.59
37920,59.0,2025-09-30,9.0,-0.094633812,0.118428646,1,35.63094147,Technical,Yes,Kids,Phone,84.23
3908,79.0,2025-09-27,5.0,-0.535080929,0.252299329,7,9.573345019,Technical,Yes,Gamer,Phone,149.61
47100,59.0,2025-10-02,6.0,-0.608617312,0.616485359,16,32.37186386,Technical,Yes,Movies,Email,1089.06 EUR
2790,91.0,2025-05-04,12.0,0.111240771,0.538233172,19,51.15665963,Technical,Yes,WorkFromHome,App,2034.95
43481,75.0,2025-09-25,12.0,-0.404896605,0.404839302,16,27.88192006,Technical,Yes,Movies,Chat,939.4
14785,85.0,2025-06-01,4.0,0.485331637,0.802448016,18,70.01369813,Technical,Yes,Gamer,Email,2635.51
16116,26.0,2025-09-23,6.0,0.876866925,0.991459514,8,29.83321868,Other,Yes,Movies,Chat,507.22
41310,92.0,2025-05-18,7.0,-0.832353121,0.72000773,4,68.23696073,Technical,Yes,Kids,Community,578.64
33059,91.0,2025-03-08,12.0,-0.770950288,0.194096719,12,21.52312931,Technical,Yes,Movies,Chat,548.08
25020,3.0,2025-05-02,7.0,-0.594207563,0.714090603,17,48.99878437,Technical,Yes,International,Phone,1745.37
11723,15.0,2025-07-14,4.0,-0.671471999,0.093127558,6,4.47823034,Technical,No,Movies,Chat,65.98 EUR
19035,5.0,2025-06-17,7.0,-0.867554,0.271338232,0,3.769770368,Technical,0,Movies,Email,10.0
49500,22.0,2025-09-23,13.0,0.976574106,0.365209934,19,43.4747725,Billing,Yes,Movies,Email,1730.88
43820,67.0,2025-09-30,14.0,0.274164333,0.210798316,3,18.24141929, Technical,Yes,Sports,Email,124.01
43362,36.0,2025-09-11,9.0,-0.765644455,0.13226271,13,34.52659894,Technical,No,Movies,Email,945.1
45141,95.0,2025-06-07,1.0,0.756563765,0.377586374,17,54.72524245,Technical,0,Movies,Phone,1948.19
38157,74.0,2025-05-23,13.0,-0.0444512,0.516694888,4,28.02919244,Technical,Yes,Movies,Community,243.58
12546,26.0,2025-09-15,11.0,0.95321502,0.863862323,18,15.90221643,Technical,No,Movies,Phone,606.33
16539,55.0,2025-09-26,14.0,-0.410537928,0.060584948,19,42.98296135,Technical,True,Security,Social,1711.41
700,78.0,2025-02-05,13.0,-0.511376169,0.886009254,17,33.16676723,Technical,No,Security,Email,1184.66
22449,67.0,2025-04-06,7.0,-0.243627866,0.616998994,8,61.85147319,Technical,Yes,Music,Chat,1040.86
